科技的进步, technological advance
政府资助的科学研究, state-funded scientific research
科学机构, scientific institutions
技术的创新, technological innovation
先进科技, advanced technology
最新技术, state-of-the-art technology
技术突破, technological break-through
保护环境, protect the environment
医学进步, medical development
技术的改变, technological change
新技术, new technology
高新技术, cutting-edge technology
高新技术产业, hi-tech industry
减少疾病, reduce diseases
减少饥荒, reduce/eradicate hunger
太空技术, space technology
电信技术, telecommunication technology
移动设备, mobile devices
即时消息, instant messaging
在手机上, on mobile phone
传真机, fax machines
接入互联网服务, access to Internet services
保持终身的关系, keep/maintain a lifelong relationship
和………………保持联系, keep in touch with sb
使用移动电话, via mobile phone
短信, messaging service
通过电子邮件, via email
在电脑上, on a computer
在线服务, online service
乘飞机旅行, travel by air
形成牢固的关系, build a tight relationship
在家远程办公, work from home
在家工作(工作地点是自己的家), work at home
"使用现代办公设备(如传真机和电脑)的办公室,也可以说“无纸办公室”", paperless office
上下班, travel to or from work
保持积极性, keep self-motivated
参加工作, join the workforce
灵活的工作时间, flexible working time
牺牲家庭生活, sacrifice family life
自律, show self-displine
表现主动性, show their motivation
兼顾工作和家庭, achieve a work-life balance
工作的责任, working commitments
产生收入, produce revenue
旅游胜地, tourist attractions
旅游业, the tourism sector/industry
吸引游客, attract tourists
旅游目的地, attractive destinations
去观光, go for a travel
一个经济增长的驱动力, a driver of economic growth
