分类,英文短语,短语中文翻译,说明,所属短语,短语关系
技能类短语,copy what they see in the media,模仿他们在媒体里看到的行为,,null,null
技能类短语,become aggressive and violent,变得具有攻击性而且很暴力,,null,null
技能类短语,steal personal information,盗取个人信息,,null,null
技能类短语,online fraud,网络诈骗（名词短语）,,null,null
文化类短语,reduce cultural diversity,减少文化的多样性,"(跨国公司、文化全球化)",null,null
文化类短语,have similar lifestyles,有相似的生活方式,,reduce cultural diversity,扩展短语
文化类短语,erode their cultural identity,削弱他们对本国文化或者对本民族文化认同感,"(文化全球化、小语种灭绝)",null,null
文化类短语,feel lonely and isolated,感到孤独而且孤立,"(老年人，说小语种的人)",null,null
文化类短语,have more job opportunities,有更多的就业机会,,feel lonely and isolated,对比短语
文化类短语,have more entertainment choices,有更多的娱乐选择,,feel lonely and isolated,对比短语
文化类短语,cause misunderstanding,导致误解，引起误解,,null,null
文化类短语,cultural differences,文化差异（名词短语）,,null,null
文化类短语,language barrier,语言障碍（名词短语）,,null,null
文化类短语,traditions and customs,传统和风俗,,null,null
文化类短语,respect the local traditions and customs,尊重当地的传统和风俗,,traditions and customs,搭配动词
文化类短语,deepen their understanding of their heritage,深化他们对于自己的文化传承的理解,,null,null
文化类短语,heritage,文化传承,heritage 不能用复数,,说明
文化类短语,is a key part of their heritage,是他们的文化传承的一个重要部分,,deepen their understanding of their heritage,例句补充
文化类短语,are more open-minded,思想更开放的，更愿意接受不同事物的,,null,null
文化类短语,respect cultural differences,尊重文化差异,,are more open-minded,搭配动词
文化类短语,build trust and respect,建立信任和尊重,,null,null
文化类短语,multi-cultural society,多元文化社会（名词短语）,,null,null
文化类短语,work closely together,一起紧密地合作,,build trust and respect,搭配动词
文化类短语,boost national pride,提升民族的自豪感,"(了解文化传承、国际赛事获胜等)",null,null
文化类短语,unite people,把人们团结到一起,,boost national pride,同义替换
文化类短语,share ideas and opinions,分享想法和意见,,null,null
文化类短语,promote cultural exchange,促进文化交流,,share ideas and opinions,同义替换
文化类短语,a key part of our heritage,我们的文化传承的一个重要部分,"(历史建筑、传统艺术)",null,null
文化类短语,famous landmarks,著名的标志性建筑,,a key part of our heritage,具体分类
文化类短语,attract many tourists,吸引很多的游客,,a key part of our heritage,结果描述
文化类短语,contribute to the local economy,为当地的经济做贡献,,a key part of our heritage,结果描述
文化类短语,enrich the local culture,丰富当地的文化,"(公共艺术，历史建筑)",null,null
文化类短语,make cities more interesting and enjoyable,让城市变得更有趣而且令人愉快,,enrich the local culture,结果描述
文化类短语,have character,有鲜明的个性特色，例如历史建筑，手工制作的产品,,null,null
文化类短语,lack character,缺乏鲜明的特色,,have character,对比短语
乐趣类短语,interesting and enjoyable,有趣而且令人愉快的（形容词短语）,,null,null
乐趣类短语,reduce stress and anxiety,减轻压力和焦虑,,interesting and enjoyable,结果描述
乐趣类短语,encourage their imagination,激发他们的想象力,,null,null
