传统化石燃料, traditional fossil fuels
节能科技, energy-saving /energy-efficient technology
环境问题, environmental problems
环境的影响, environmental effects/impacts
环境议题, environmental issues
环境的破坏, environmental destructive
对环境造成破坏, damage the environment
扔垃圾, throw rubbish
充满了垃圾, awash with rubbish
破坏湿地, damage/destroy wetlands
清理森林, clean forest
破坏美好的风景, destroy the beautiful sights
环保, environmental protection
环境保护, 
过环保的生活, have a envionmentally friendly life
环保的, environmentally friendly
环境效益, environmental benefits
环境的影响, environmental effect
开始大规模的宣传活动, launch a massive campaign
环境意识, environmental awareness
给大众提供………………方面的教育, raise public awerness about ...
大额罚款, (?)heavy fine
垃圾箱, trash bins
节能, enery-saving
回收垃圾, recycle waste
家庭垃圾, household rabbish
付出时间, spend time on/devote time on
复习备考, prepare for exams/rivise for exams
考试成绩, exam grades/results
做家庭作业, do homework
死记硬背, rote learning
课外活动, extracurricular activities
劳逸结合, combine work with pleasure
准备考试, prepare for exams
考试工厂(只关注考试的地方), exam factories
工作量增加, increase workload
背东西, memorize text(?) learn facts 
发现乐趣, discover interests
追求一种爱好, persue a hobby
家庭生活, home life
度过宝贵时光, spend treasure time
家庭关系, family bonds/ties
实现工作和生活的平衡, achieve a work-life balance
家庭责任, family commiments/responsibities
家庭聚餐, family dinners
家庭活动, family activities
感到孤独, feel lonely
孤立感, a sense of loneliness
一个有爱的家庭, a loving family
孤独感, a sense of isolated
