分类,英文短语,短语中文翻译,说明与扩展
责任类短语,build family bonds,增进亲情,"用法：build family bonds在native speakers讨论家庭话题时极为常用，这个短语里的bonds不是007，而是指“情感联系”；【BBC例句】Reading together as a family is a good way to build family bonds while having fun and gaining knowledge（获取知识）together。和他们沟通 communicate with them"
责任类短语,good role models,好的榜样（名词短语）,"教孩子明辨是非 teach them the difference between right and wrong"
责任类短语,have busy careers,有忙碌的事业,"无法实现工作和家庭之间的平衡 cannot achieve a work-family balance；溺爱他们的孩子 spoil their children"
责任类短语,develop a sense of responsibility,形成责任感,"为他们的社区做贡献 contribute to their community"
责任类短语,become useful members of society,成为有用的社会成员,"发展他们的社会交往技能 develop their social skills"
责任类短语,have more life experience,有更丰富的人生经验,"和年轻人分享他们的人生经验 share their life experience with young people；帮助他们避免错误 help them avoid mistakes"
责任类短语,provide a broad curriculum,提供科目广泛的课程安排,"核心科目 core subjects；选修科目 optional subjects"
责任类短语,prepare for the knowledge-based economy,为适应知识经济做准备,"发展他们解决问题的技能 develop their problem-solving skills"
责任类短语,guide their students,（教师）指导他们的学生,"（家长）指导他们的孩子 guide their children"
责任类短语,do voluntary work,做志愿者工作，做义工,"建立理解和尊重 build trust and respect"
责任类短语,improve public services,（政府）改进公共服务，例如教育、医疗、公共交通,"医疗服务 healthcare services；公共交通服务 public transport services"
责任类短语,make the country more competitive,让国家变得更有竞争力,"对比：只有有限的可用资金 have limited funds to spend"
责任类短语,create jobs,创造就业,"为当地的经济做贡献 contribute to the local economy；对比：抢走……的就业机会 take away jobs from ..."
责任类短语,reduce poverty,减少贫困现象,"说明：poverty是poor的名词形式：贫困；低收入家庭（名词短语） low-income families"
责任类短语,reduce inequality,减少不平等现象,"充分发挥出他们的潜力 achieve their potential"
责任类短语,introduce laws to ...,通过立法来……（减少污染，保护野生动物等）,"这个introduce不是介绍，而是“引入”的意思；对……的公司处以罚款 fine companies that ...；【经济学人例句】The government will introduce laws to fine companies that pollute the environment."
责任类短语,raise public awareness of ...,提高公众的……意识,"提高公众对健康问题的意识 raise public awareness of health issues；提高公众对环境问题的意识 raise public awareness of environmental issues；开展大规模的宣传活动来…… run campaigns to ...；这个run不是跑步，而是“举办”的意思"
责任类短语,provide reliable information,（广告、报纸等）提供可靠的信息,"反义：（广告、报纸等）提供有误导性的信息 provide misleading information；reliable“可靠的”不仅在媒体话题里很好用，而且在环境、医疗、交通等话题里也是能戳中考官“加分点”的好词；可靠的公共交通服务 reliable public transport services；可靠的医疗服务 reliable healthcare services"
责任类短语,pollute the environment,污染环境,"破坏我们的健康 damage our health"
责任类短语,create waste and pollution,产生垃圾废料和污染,"导致健康问题 cause health problems"
责任类短语,increase carbon emissions,（汽车、飞机、工厂等）增加碳排放,"汽车尾气 car fumes；对比：减少碳排放 reduce carbon emissions"
责任类短语,contribute to global warming,（汽车、飞机、工厂等）加剧全球变暖,""
