分类,英文短语,短语中文翻译,说明与扩展
技能类短语,copy what they see in the media,（儿童）模仿他们在媒体里看到的行为,"变得具有攻击性而且很暴力；become aggressive and violent"
技能类短语,steal personal information,盗取个人信息,"网络诈骗（名词短语）online fraud"
文化类短语,reduce cultural diversity,（跨国公司、文化全球化）减少文化的多样性,"（不同国家的人们）有相似的生活方式；have similar lifestyles"
文化类短语,erode their cultural identity,（文化全球化、小语种灭绝）削弱他们对本国文化或者对本民族文化认同感,""
文化类短语,feel lonely and isolated,（老年人，说小语种的人）感到孤独而且孤立,"对比：（说主流语言的人）有更多的就业机会；have more job opportunities；有更多的娱乐选择 have more entertainment choices"
文化类短语,cause misunderstanding,导致误解，引起误解,"文化差异（名词短语）cultural differences；语言障碍（名词短语）language barrier"
文化类短语,traditions and customs,传统和风俗,"（游客）尊重当地的传统和风俗；respect the local traditions and customs"
文化类短语,deepen their understanding of their heritage,深化他们对于自己的文化传承的理解,"heritage不能用复数；（传统艺术、历史建筑等）是他们的文化传承的一个重要部分；is a key part of their heritage"
文化类短语,are more open-minded,思想更开放的，更愿意接受不同事物的,"尊重文化差异；respect cultural differences"
文化类短语,build trust and respect,建立信任和尊重,"多元文化社会（名词短语）multi-cultural society；一起紧密地合作 work closely together"
文化类短语,boost national pride,（了解文化传承、国际赛事获胜等）提升民族的自豪感,"把人们团结到一起 unite people"
文化类短语,share ideas and opinions,分享想法和意见,"促进文化交流 promote cultural exchange"
文化类短语,a key part of our heritage,（历史建筑、传统艺术）我们的文化传承的一个重要部分,"著名的标志性建筑 famous landmarks；吸引很多的游客 attract many tourists；为当地的经济做贡献 contribute to the local economy"
文化类短语,enrich the local culture,（公共艺术，历史建筑）丰富当地的文化,"让城市变得更有趣而且令人愉快；make cities more interesting and enjoyable"
文化类短语,have character,有鲜明的个性特色，例如历史建筑，手工制作的产品,"对比：（现代建筑、大量生产的产品）缺乏鲜明的特色；lack character"
乐趣类短语,interesting and enjoyable,有趣而且令人愉快的（形容词短语）,"减轻压力和焦虑 reduce stress and anxiety"
乐趣类短语,encourage their imagination,激发他们的想象力,""
