竞买的网站, an auction website
运营成本, the cost of operation/running;running costs
下单,place an order 
换货, offer a replacement
在家里, at the comfort of their home(?)
假货, fake goods
不好的产品, shoddy goods
消费者权益, consumer rights
行业规范, a code of practice/conduct
公司老板, company owners
电商网站, e-commerce websites
零售店, retail outlets/shops
回答问题, answer questions/enquiries
付款, place a payment
扩大业务, expand the business
融入自己的日程表, fit into their schedule
有问题的产品, faulty goods
真货, authentic brands
购买的决定, buying/shopping decision
举办派对, throw/hold a party
出席派对, attend a party
公司里举行的派对, office parties
生日宴会, birthday parties
生日礼物, birthday presents
很好喝的饮料(或者酒), refreshing drinks
提供酒水, cater drinks for guests/provide guests with drinks
告别宴会, farewell parties
举办派对, organize/host a party
出席派对, attend parties
家里举行的聚餐, household parties
生日蛋糕, birthday cakes
吹蜡烛, blow up candles
入伙聚餐, housewarming parties
k歌的派对, karaoke parties
拍照, take photos
拍自拍照, take a selfie
可移动设备, mobile devices
拍照, take pictures
相册, photo albums
捕捉特别的瞬间, capture the special moments
重温一些(美好的瞬间或者日子), relive experience
上传相片, upload photos
数码相机, digital camera
让颜色更加鲜艳, make colors more clear
社交网站, social networking websites/social media
编辑相片, edit photos
制作慢动作电影, make low motion movies
做实际工作, do practical work
为工作做准备, prepare for working lifes
实习, working replacement
