anticipate,预料,期望,参与,-1
exotic,外来的,奇异,外部的,-1
fabric,布料,结构,植物,-1
forage,觅食,搜寻,密室,-1
germinate,发芽,萌芽,繁殖,-1
impose,征收,强加,使用,-1
intense,剧烈,紧张,刺激,-1
landscape,风景,格局,地标,-1
pendulum,钟摆,摇摆,悬挂,-1
revised,修订版,修正,审阅,-1
temperate,温带的,温和的,温度,-1
adverse,,不利的,对抗,-1
beforehand,,预先,前额,-1
feat,壮举,技艺,才艺,-1
agitate,摇动,煽动,,0
appraisal,估价,评价,,0
assess,评估,评定,,0
damp,潮湿的,,,0
estate,地产,身份,,0
flaw,裂纹,缺点,,0
foster,抚养,培养,,0
freight,货物,运费,,0
graze,吃草,擦过,,0
grinding,研磨,折磨,,0
mould,模具,塑造,,0
pedestrian,行人,平庸,,0
pharmaceutical,药物,制药,,0
prescribe,开药,规定,,0
ascribe,,归因,,0
renowned,,著名的,,0
rival,对手,竞争,,0
seminar,研讨会,研讨,,0
spectacular,壮观的,惊人的,,0
subsidy,补助金,补贴,,0
territory,领土,领域,,0
therapy,疗法,治疗,,0
thrive,茁壮成长,繁荣,,0
trek,跋涉,艰辛历程,,0
tremendous,巨大的,极好的,,0
venue,场馆,地点,,0
ailment,小病,,,0
dispense,分发,免除,,0
district,区,辖区,,0
immense,巨大的,无限的,,0
lobby,大厅,游说,,0
nourish,滋养,培育,,0
obligation,,义务,,0
plantation,种植园,,,0
reluctant,,不愿,,0
rigorous,严格,严谨,,0
ritual,仪式,惯例,,0
silt,淤泥,,,0
vigilance,警戒,警惕,,0
fabulous,传说,极好,不同寻常的,4
steady,平稳的,坚定的,坚持,4
airborne,空中的,,天上的,4
consolidation,加固,巩固,联盟,5
pitched,倾斜,激烈,带有音符的,5
expedition,探险,效率,冒险,6
flourish,茂盛,繁荣,鲜花繁茂的,6
prey,猎物,受害者,掠夺,6
acquisition,获得,习得,获得的,8
comprise,包含,构成,组合自,8
drought,干旱,缺乏,干旱的,8
mortality,死亡率,必死,致死性,8
glow,红光,热情,暗淡的光,8
hospitality,招待,好客,好客的,8
imagery,图像,意象,意向,8
undermine,挖空,削弱,被损害,8
apprenticeship,学徒,见习,学徒,9
degradation,降级,堕落,堕落，降级,9
incentive,奖金,动力,刺激,9
catalogue,目录,登记,分类,9
metropolitan,大都市的,宗主国的,超大都市,9
renewed,更新,复兴,翻新的,9
squash,压扁,压制,粉碎,9
