topic,chinese, collations
Architecture,进行一次旅行, make a trip/journey
Architecture,在古时候, in ancient times
Architecture,文化遗产, cultural heritage
Behavioural Problems,好的榜样, good role models
Behavioural Problems,模仿行为, copy behaviour
Behavioural Problems,表现得很差, bahave badly
Behavioural Problems,行为问题, behavioural problems
Behavioural Problems,表现出礼貌的行为, show good manners
Behavioural Problems,表现出尊敬, show their respect
Behavioural Problems,送孩子去学校, send children to school
Behavioural Problems,第一个老师(启蒙老师), first educators
Behavioural Problems,家庭暴力, domestic violence
Behavioural Problems,不良的行为, poor behaviour
Behavioural Problems,有暴力倾向, show aggression
Behavioural Problems,社会规范, social norms
Behavioural Problems,说话有礼貌, speak in a friendly manner
Behavioural Problems,接孩子, pick up children
Business,竞争优势, a competitive edge/advantage
Business,满足需求, meet the expectations / satisfy the needs
Business,脱颖而出, stand out from the crowded
Business,值得去看看, worth a visit
Business,一次难忘的经历, a memorable experience
Business,视觉体验, visual experience
Business,激烈的竞争, an intense/ a stiff/fierce/tough competition
Business,服务小众市场, serve a niche market
Business,创立一个公司, set up a company/start a business
Business,经营一个成功的生意, run a successful business
Business,运营成本, running costs
Business,赚取利润, make profits/earn profits
Business,破产, go bankrupt
Business,收支相抵, make ends meet
Business,破产(口语), go bust
Business,性价比很高, good value for money
Business,商业计划, business plans
Business,减少成本的措施, measures to reduce costs
Business,处理投诉, handle complaints
Car Emissions,限制汽车的使用, curb car use / limit car usage
Car Emissions,产生废气, produce exhaust fumes
Car Emissions,引起空气污染, result in air pollution
Car Emissions,忍受身体不适, suffer from poor health
Car Emissions,缓解问题, mitigate problems
Car Emissions,增加医疗费用, increase medical/healthcare costs
Car Emissions,气候变化, climate change
Car Emissions,汽车尾气, car fumes
Car Emissions,对我们的健康产生危害, damage our health/be dangerous to our health
Car Emissions,解决污染问题, solve/address/tackle pollution problems
Car Emissions,空气质量差, poor air conditions
Car Emissions,农业收成不好, a bad harvest in agriculture
Car Emissions,全球变暖, global warming
Celebrities,依靠自己努力而出名的人, a self-made man/start/celebrity
