获得幸福(结果), attain hapiness/gain happiness
找到乐趣, find enjoyment
满足基本需求, meet baisc demands
更高的生活水平, higher living standards
感到紧张, feel stressed
家庭生活, family life
感到孤独, feel lonely
挣钱, earn money
享受快乐的退休时光, enjoy a happy retirement
感受幸福(过程), enjoy happiness
找到乐趣, find enjoyment
改善生活水平, improve the standard of living
过上舒适的生活, have a comfortable lifestyle
非经济因素, non-financial factors
社会生活, social life
有体面的收入, have a decent income
实现职场成功, attain career success
捐钱, denote money
保持健康, keep healthy
危害健康, endarger health
专注于工作, concentrate on work
促进身体健康, improve physical health
容易有健康问题, be prone to health problem
实现自己的梦想, attain ambitious
经济价值, economic value
一个久坐的生活方式, a sedentary lifestyle
对健康有危害, be harmful to health
患上心脏病, have heart disease
病假, sick leave
看医生, see a doctor
实现自己的目标, attain their goals
住房短缺, housing shortages
人口很多的城市, populated cities
为………………腾出空间, (?)
住房市场, housing market
城市规划, urban planning
重新开发破旧城区, redevelop run-down urban areas
住宅楼, residential buildings
国家房(政府补贴的“公租房”/福利房), state housing
付按揭款, pay a mortgage
高层建筑, high-rise buildings
乡镇, provincial towns
房产开发商, housing developers
容纳人, accommodate people
低建筑密度的社区, low-density neighborhoods
土地稀缺城市, land-scarce cities
满足对住房日益增长的需求, satisfy the raising demand for housing
拆除老房子, demolish old buildings
网络科技, internet technology
在家里工作, work from home
