分类,英文短语,短语中文翻译,说明与扩展
技能类短语,develop their skills,发展他们的技能,"规律：英语写作里最常与 their skills 搭配的 3 个动词是：develop, improve 和 boost；绝不要嫌弃它们“没特色”，语言自然、地道就是最大的特色；请熟记这八类常考技能，你绝不会后悔：独立思考的技能 independent thinking skills；解决问题的技能 problem-solving skills；社会交往的技能 social skills；团队合作技能 teamwork skills；读写技能 reading and writing skills；沟通技能 communication skills；计算机技能 computer skills；外语技能 foreign language skills；（标 ★ 的是中国考生们特别容易忽视、但 native speaker 考官却很希望在你的作文里看到的技能）"
技能类短语,develop good learning habits,形成良好的学习习惯,"更高效地学习 learn more efficiently"
技能类短语,deepen their understanding of ...,（学生、游客、参观者等）深化他们对……的理解,"deepen 是 deep 的动词形式；获取关于……的知识 gain knowledge about ...；native speakers 不说 learn knowledge ×，因为按英文习惯 learn 和 knowledge 两个词不能搭配到一起"
技能类短语,boost their brain development,促进（儿童的）大脑发育，例如阅读，玩益智游戏（educational games）,"提高他们解决问题的能力 improve their problem-solving skills；用法：improve their problem-solving skills 是 native speakers 的作文里关于技能常用的短语之一，它不但可以指提高解决学习问题的能力，也可以指解决实际生活问题的能力；【BBC例句】Playing chess can boost children's brain development.；【剑桥例句】Video games can improve players' problem-solving skills."
技能类短语,encourage their imagination,激发他们的想象力,"用法：当 encourage 后面是心理活动时它是“激发”的意思；有创意地思考 think creatively"
技能类短语,expand their horizons,（旅行、学外语）开阔他们的眼界,"这个短语里的 horizons（眼界）必须用复数；broaden their horizons 本来也是一条地道短语，可惜被中国同学们长期 overuse（过度使用），现在连学校门口卖盒饭的大婶儿都已经掌握了"
技能类短语,improve their social skills,提高他们的社会交往能力,"发展他们的团队合作能力 develop their teamwork skills；social skills（社会交往技能）和 problem-solving skills（解决问题的技能）是英语文化里极为关键的两类技能，但是很少有中国同学会在作文里想到它们，让渴望看到这两个地道短语的 examiners “很受伤”"
技能类短语,work closely together,（学生、员工、团队成员、国家等）一起紧密地合作,"用法：这个 work 不仅可以指工作，也可以指任何要紧密合作才能完成的事情；提高他们的团队合作技能 improve their teamwork skills"
技能类短语,increase their independence,（技能、经历等）增强他们的独立性,""
技能类短语,gain practical experience,获取实践经验,"【经济学人例句】Law schools often send their students to gain practical experience by giving free advice to people in need."
技能类短语,have more job opportunities,有更多的就业机会,"帮助他们为就业做准备 help them prepare for employment"
技能类短语,achieve their potential,充分发挥出他们的潜力,"注意：potential 不能用复数；实现他们的目标 achieve their goals"
效率类短语,save time and energy,节省时间和精力,"（新的科技）让学习变得更高效 make learning more efficient"
效率类短语,make the best use of their time,更充分地利用他们的时间,"对比：是浪费他们的时间 is a waste of their time"
效率类短语,boost efficiency,提高效率,"提高生产率 boost productivity；辨析：efficiency 可以泛指做任何事的效率，而 productivity 则是特指生产率"
效率类短语,boost their performance,提升他们的（学习或者工作的）表现,"【经济学人例句】A work-life balance（工作和生活之间的平衡）can boost employees' performance."
效率类短语,make life more convenient and comfortable,让生活变得更方便舒适,"科技创新（名词短语） technological innovations；人工智能（名词短语） artificial intelligence；无人驾驶汽车（名词短语） self-driving cars"
