topic,phrase,chinese,seq
Academic Skills,research skills,研究能力, 1
Academic Skills,analytical skills,分析能力, 2
Academic Skills,search the web for information,上网找资料, 3
Academic Skills,do research,做调查, 4
Academic Skills,leadership skills,领导能力, 5
Academic Skills,leadership qualities,领导的素质, 6
Academic Skills,organisational skills,组织能力, 7
Academic Skills,academic skills,学术能力, 8
Academic Skills,problem-solving skills,解决问题的能力, 9
Academic Skills,gather information,收集信息, 10
Academic Skills,critical thinking skills,思辨能力, 11
Academic Skills,computer literacy,电脑能力, 12
Academic Skills,practical skills,实际工作的能力, 13
Academic Skills,sharpen skills/add to the skill set,丰富技能, 14
Air Travel,travel by air,坐飞机出行, 15
Air Travel,air transport,空运, 16
Air Travel,make non-essential trips,进行非必要的旅行, 17
Air Travel,in the airline industry,在航空业, 18
Air Travel,travel expenses,差旅费, 19
Air Travel,tourist attractions,旅游景点, 20
Air Travel,greenhouse gases,温室气体, 21
Air Travel,trap heat from the sun,从太阳吸收热量, 22
Air Travel,unusually warm conditions,异常温暖的气候, 23
Air Travel,air travel,空航, 24
Air Travel,transport...by air,通过飞机运输, 25
Air Travel,price war,价格战, 26
Air Travel,air fares,机票费用, 27
Air Travel,on holiday,度假, 28
Air Travel,a source of pollution,污染源, 29
Air Travel,build up in the atmosphere,聚集在大气中, 30
Air Travel,extreme weather conditions,极端天气, 31
Animal Testing,animal tests,动物实验, 32
Animal Testing,conduct experiments,做实验, 33
Animal Testing,develop a new drug,研发一种新药, 34
Animal Testing,side effect,副作用, 35
Animal Testing,medical tests,药物实验, 36
Animal Testing,medical products,医用品, 37
Animal Testing,animal experiments,动物实验, 38
Animal Testing,animal welfare groups,动物权益团体, 39
Animal Testing,show promising results,有好结果, 40
Animal Testing,exposed to abuse,受到虐待, 41
Animal Testing,alternative methods of research,可代替的研究方法, 42
Animal Testing,skincare products,护肤品, 43
Architecture,historic building,历史建筑, 44
Architecture,heritage building,古建筑, 45
Architecture,cultural site,文化遗址, 46
Architecture,historic site,历史遗址, 47
Architecture,cultural attraction,文化胜地, 48
Architecture,architectural landmark,建筑地标, 49
Architecture,architectural treasure,建筑瑰宝, 50
Architecture,make a trip,进行一次旅行, 51
Architecture,in ancient times,在古时候, 52
Architecture,cultural heritage,文化遗产, 53
Behavioural Problems,good role models,好的榜样, 54
Behavioural Problems,copy behaviour,模仿行为, 55
Behavioural Problems,behave badly,表现得很差, 56
Behavioural Problems,behavioural problems,行为问题, 57
Behavioural Problems,show good manners,表现出礼貌的行为, 58
Behavioural Problems,show respect to (somebody),表现出尊敬, 59
Behavioural Problems,send/take children to school,送孩子去学校, 60
Behavioural Problems,first educators,第一个老师(启蒙老师), 61
Behavioural Problems,domestic violence,家庭暴力, 62
Behavioural Problems,poor behaviour,不良的行为, 63
Behavioural Problems,show aggression,有暴力倾向, 64
Behavioural Problems,social norms,社会规范, 65
Behavioural Problems,speak in a friendly manner,说话有礼貌, 66
Behavioural Problems,pick up children,接孩子, 67
Business,competitive advantages,竞争优势, 68
Business,satisfy the needs,满足需求, 69
Business,stand out from the crowd,脱颖而出, 70
Business,worth a visit,值得去看看, 71
Business,a memorable experience,一次难忘的经历, 72
Business,visual experience,视觉体验, 73
