"type","verb","phrase","chinese"
"动词短语","achieve","achieve their potential","实现,充分地充分发挥出他们的潜力 发挥"
"动词短语","achieve","achieve their goals","实现他们的目标"
"动词短语","achieve","achieve a work-life balance","实现工作和生活之间的平衡"
"动词短语","achieve","achieve sustainable development","实现可持续发展,实现不破坏环境的发展"
"动词短语","attract","attract many tourists","(老建筑)吸引很多游客"
"动词短语","attract","attract people's attention","(广告)吸引人们的注意力"
"动词短语","become","become useful members of society","(青少年、被改造的罪犯)成为有用的社会成员"
"动词短语","become","become addicted to ...","对(电子游戏、社交媒体、垃圾食品)上瘾"
"动词短语","become","become aggressive and violent","(模仿媒体暴力的青少年)变得有攻击性而且很暴力"
"动词短语","boost","boost efficiency","提高效率"
"动词短语","boost","boost productivity","提高生产率"
"动词短语","boost","boost the sales of products","(广告)提高产品的销量"
"动词短语","boost","boost their performance","提升(学生或者员工的)表现"
"动词短语","boost","boost economic growth","促进经济的增长"
"动词短语","boost","boost their brain development","促进(儿童的)大脑发育"
"动词短语","boost","boost gender equality","促进性别平等"
"动词短语","build","build trust and respect","建立信任和尊重"
"动词短语","build","build family bonds","增进亲情"
"动词短语","cause","cause labour shortages","(人口老龄化)导致劳动力短缺"
"动词短语","cause","cause health problems","(垃圾食品)导致健康问题"
"动词短语","cause","cause misunderstanding","(不同的语言)导致误解"
"动词短语","contain","contain too much fat, salt or sugar","(快餐)含过多的脂肪、盐或糖"
"动词短语","contain","contain violent images","(电子游戏、电影)含有暴力的画面"
"动词短语","contribute to","contribute to the economy","(旅游业,广告业)为经济做贡献"
"动词短语","contribute to","contribute to society","(毕业生,被改造的罪犯)为社会做贡献"
"动词短语","contribute to","contribute to global warming","加剧全球变暖"
"动词短语","copy","copy what they see in video games","(青少年)模仿他们在电子游戏里看到的行为"
"动词短语","copy","copy what they see in the media","模仿他们在媒体里看到的行为"
"动词短语","create","create jobs","创造就业"
"动词短语","create","create waste and pollution","产生垃圾废料和污染"
"动词短语","damage","damage their health","(垃圾食品、缺少运动的生活方式)破坏他们的健康"
"动词短语","damage","damage their eyesight","(打游戏、看电视过久)破坏他们的视力"
"动词短语","damage","damage the environment","破坏环境"
"动词短语","deepen","deepen their understanding of their heritage","深化他们对文化传承的理解"
"动词短语","deepen","deepen their understanding of the local culture","(游客)深化他们对当地文化的理解"
"动词短语","develop","develop their social skills","发展他们的社会交往技能"
"动词短语","develop","develop good learning habits","形成良好的学习习惯"
"动词短语","develop","develop an active lifestyle","形成经常运动的生活方式"
"动词短语","develop","develop a sedentary lifestyle","(对比)形成缺少运动的生活方式"
"动词短语","deter","deter crime","震慑犯罪"
"动词短语","deter","deter potential criminals","震慑潜在的罪犯"
"动词短语","encourage","encourage people to ...","鼓励人们去…………………"
"动词短语","encourage","encourage imagination","激发想象力"
"动词短语","encourage","encourage creativity","激发创造力"
"动词短语","enrich","enrich the local culture","(公共艺术,老建筑)丰富当地的文化"
"动词短语","erode","erode their cultural identity","削弱他们对本国文化或者对本民族文化的认同感"
"动词短语","expand","expand their horizons","开阔他们的眼界"
"动词短语","expand","expand their knowledge about ...","扩展他们关于………………的知识"
"动词短语","feel","feel motivated","感到很有动力,“动力十足”"
"动词短语","feel","feel frustrated","感到沮丧,有挫败感"
"动词短语","feel","feel lonely and unhappy","感到孤独而且不快乐"
"动词短语","feel","feel lonely and isolated","感到孤独而且孤立"
"动词短语","find","find information quickly and easily","快速而且轻松地找到信息"
"动词短语","find","find employment","找到工作"
"动词短语","gain","gain knowledge","获取知识"
"动词短语","gain","gain practical experience","获取实践经验"
"动词短语","give","give financial support to ...","为 提供资助"
"动词短语","give","give them advice and support","(家长)给孩子建议与支持"
"动词短语","give","give them a sense of belonging","给(学生、员工、居民)一种归属感"
"动词短语","guide","guide their children","(家长)指导他们的孩子"
"动词短语","guide","guide their students","(教师)指导他们的学生"
"动词短语","have","have more freedom","有更多的自由"
"动词短语","have","have more job opportunities","有更多的就业机会"
"动词短语","have","have a competitive edge","有竞争优势"
"动词短语","have","have similar lifestyles","(不同国家的人们)有相似的生活方式"
"动词短语","have","have more life experience","(老年人)有更多的人生经验"
"动词短语","impose","impose high taxes on ...","对(不健康的食品、污染环境的产品)征收重稅"
"动词短语","improve","improve their problem-solving skills","增强他们解决问题的技能"
"动词短语","improve","improve public services","改进公共服务(例如教育、医疗、公共交通)"
"动词短语","increase","increase the demand for ...","增加对于(产品、自然资源)的需求"
"动词短语","increase","increase the burden on ...","增加(纳税人、医疗体系)的负担"
"动词短语","increase","increase carbon emissions","(汽车数量增加、食品运输)增加碳排放"
"动词短语","increase","increase the risk of heart disease and high blood pressure","增加患心脏病和高血压的风险"
"动词短语","increase","increase food supply","(农业科技)增加食品供应"
"动词短语","interact with","interact with their friends online","在网上和朋友们交流互动"
"动词短语","interact with","interact with local people","(游客)和当地人交流互动"
"动词短语","lack","lack motivation","缺乏(工作或者学习的)动力"
"动词短语","lack","lack a sense of belonging","缺少归属感"
"动词短语","lack","lack character","(现代建筑)缺少个性特色"
"动词短语","look","look similar","(不同的建筑,不同的城市)看起来很相似"
"动词短语","look","look unique","(老建筑)看起来很独特"
"动词短语","look","look more attractive","(广告让产品)看起来更有吸引力"
"动词短语","lose","lose their traditions","失去他们的传统"
"动词短语","lose","lose their jobs","失去他们的工作"
"动词短语","make","make shopping more efficient","(网购)让购物变得更高效"
"动词短语","make","make communication more efficient","(互联网、手机)让沟通变得更高效"
"动词短语","make","make life more convenient and comfortable","(科技)让生活变得更方便舒适"
"动词短语","make","make cities more interesting and enjoyable","(老建筑、公共艺术)让城市变得更有趣而且令人愉快"
"动词短语","make","make them more independent","让(青少年)变得更独立"
"动词短语","make","make them more creative","让(学生)变得更有创造力"
"动词短语","pay","pay taxes","纳税"
"动词短语","pay","pay fines","(污染环境的公司)交纳罚款"
"动词短语","play","play a key role in ...","(政府,家长,互联网)在………………当中起重要的作用"
"动词短语","pollute","pollute the air","污染空气"
"动词短语","pollute","pollute the environment","污染环境"
"动词短语","pose","pose a threat to society","(罪犯)对社会构成威胁"
"动词短语","pose","pose a threat to people's safety","对人们的安全构成威胁"
"动词短语","pose","pose a threat to traditional lifestyles","(全球化)对传统的生活方式构成威胁"
"动词短语","pose","pose a threat to their heritage","(全球化)对他们的文化传承构成威胁"
"动词短语","pose","pose a threat to biodiversity","(污染)对生物多样性构成威胁"
"动词短语","prepare","help them prepare for employment","帮助他们为就业做好准备"
"动词短语","prepare","help them prepare for adult life","帮助他们为成年之后的人生做好准备"
"动词短语","prepare","help them prepare for the knowledge-based economy","帮助他们为知识经济做好准备"
"动词短语","prevent","prevent crime","预防犯罪"
"动词短语","prevent","prevent diseases","(健康的食品、健康的生活方式)预防疾病"
"动词短语","promote","promote violence","(电子游戏,电影)宣扬暴力"
"动词短语","promote","promote products","(广告)推销产品"
"动词短语","protect","protect their heritage","保护他们的文化传承"
"动词短语","protect","protect endangered species","保护濒危物种"
"动词短语","protect","protect people's safety","保护人们的安全"
"动词短语","provide","provide lower prices","(网店)提供更低的价格"
"动词短语","provide","provide people with more shopping choices","(网店)为人们提供更多的购物选择"
"动词短语","provide","provide people with more food choices","(食品科技)为人们提供更多的食品选择"
"动词短语","put pressure on","put pressure on natural resources","(人口增长,崇尚消费的文化)对自然资源构成压力"
"动词短语","put pressure on","put pressure on the healthcare system","(人口老龄化)对医疗体系构成压力"
"动词短语","raise","raise people's standard of living","提高人们的生活水平"
"动词短语","raise","raise health awareness","提高健康意识"
"动词短语","raise","raise environmental awareness","提高环境意识"
"动词短语","recycle","recycle waste","循环利用垃圾废料"
"动词短语","recycle","recycle used products","循环利用废旧产品"
"动词短语","reduce","reduce face-to-face interaction","(互联网、手机)减少面对面的交流"
"动词短语","reduce","reduce poverty","减轻贫困"
"动词短语","reduce","reduce stress","(媒体、娱乐)减轻压力"
"动词短语","reduce","reduce the risk of heart disease and high blood pressure","(健康食品、运动)减少患心脏病和高血压的风险"
"动词短语","reduce","reduce biodiversity","(破坏环境)减少生物多样性"
"动词短语","reduce","reduce cultural diversity","(跨国公司、全球化)减少文化多样性"
"动词短语","reduce","reduce carbon emissions","(使用公共交通、网购)减少碳排放"
"动词短语","rely on","rely heavily on fast food","严重依赖于快餐"
"动词短语","rely on","rely heavily on the Internet","严重依赖于网络"
"动词短语","respect","respect local traditions and customs","(游客)尊重当地的传统和风俗"
"动词短语","respect","respect their personal choices","(政府)尊重公民的个人选择,例如关于饮食和生活方式的选择"
"动词短语","share","share photos and videos","(在网上)分享照片和视频"
"动词短语","share","share ideas and opinions","分享想法和意见"
"动词短语","share","share their life experience with young people","(老年人)与年轻人分享他们的人生经验"
"动词短语","take","take public transport","乘坐公共交通"
"动词短语","take","take away jobs from local farmers","(远距离运输的食品)抢走当地农民的就业机会"
"动词短语","take","take away jobs from factory workers","(机器人)抢走工人的工作机会"
"动词短语","value","value their traditions","重视他们的传统"
"动词短语","value","value their heritage","重视他们的文化传承"
"动词短语","work","work full-time","全职工作"
"动词短语","work","work overtime","加班"
"动词短语","work","work closely together","一起紧密地合作"
"名词短语","","independent thinking skills","独立思考的技能"
"名词短语","","problem-solving skills","解决问题的技能"
"名词短语","","social skills","社会交往技能"
"名词短语","","teamwork skills","团队合作的技能"
"名词短语","","useful members of society","有用的社会成员"
"名词短语","","the knowledge-based economy","知识经济"
"名词短语","","international trade","国际贸易"
"名词短语","","cultural exchange","文化交流"
"名词短语","","standard of living","生活水平"
"名词短语","","public services","公共服务(例如:教育、医疗、公共交通、图书馆和博物馆)"
"名词短语","","rapid population growth","高速的人口增长"
"名词短语","","technological innovations","科技创新"
"名词短语","","a competitive edge","竞争优势"
"名词短语","","consumer culture","崇尚消费的文化"
"名词短语","","medical research","医学研究"
"名词短语","","natural resources","自然资源"
"名词短语","","online fraud","网络诈骗(fake products 假货)"
"名词短语","","violent images","(电子游戏、电影里)暴力的画面"
"名词短语","","a sedentary lifestyle","缺少运动的生活方式(对比:an active lifestyle 经常运动的生活方式)"
"名词短语","","an eco-friendly lifestyle","环保的生活方式"
"名词短语","","the pace of life","生活节奏"
"名词短语","","the cost of living","生活开支,生活成本"
"名词短语","","stress and anxiety","压力和焦虑"
"名词短语","","gender bias","性别偏见"
"名词短语","","labour shortages","劳动力短缺"
"名词短语","","housing shortages","住房短缺"
"名词短语","","global warming","全球变暖"
"名词短语","","a work-life balance","工作和生活之间的平衡(a work-family balance 工作和家庭之间的平衡)"
"名词短语","","a sense of belonging","归属感(a sense of community 社区感, a sense of responsibility 责任感, a sense of achievement 成就感)"
"名词短语","","family bonds","亲情"
"名词短语","","respect and trust","尊重和信任"
"名词短语","","car fumes","汽车尾气"
"名词短语","","carbon emissions","碳排放"
"名词短语","","electric cars","电动汽车"
"名词短语","","low-income families","低收入家庭"
"名词短语","","hunger and poverty","饥饿与贫困"
"名词短语","","financial support","经济支持,资助"
"名词短语","","government revenue","政府收入"
"名词短语","","residential buildings","居住建筑(office buildings 办公建筑,commercial buildings 商业建筑)"
"名词短语","","famous landmarks","著名的标志性建筑"
"名词短语","","traditions and customs","传统与风俗"
"名词短语","","a key part of our heritage","(传统艺术、老建筑)我们的文化传承的一个重要部分"
"名词短语","","the language barrier","交流当中的语言障碍"
"名词短语","","cultural diversity","文化多样性"
"名词短语","","wildlife reserves","自然保护区"
"名词短语","","pain and suffering","痛苦和折磨"
