acoustic,
acoustic,音响,声学
acquisition,获得,习得
advent,到来,问世
agile,敏捷,灵活
agitate,摇动,煽动
anticipate,预料,期望
appraisal,估价,评价
appreciation,增值,欣赏
apprenticeship,学徒,见习
archaeology,文物,考古
Arctic,北极,寒带
arousal,唤醒,激起
assess,评估,评定
auditorium,礼堂,会场
attribute,属性,归因
auditorium,礼堂,会场
brochure,手册,宣传
cater,供餐,迎合
cereal,谷物,主食
chronic,慢性病,长期
commodity,商品,价值
communal,公共的,集体的
compound,化合物,复合的
comprise,包含,构成
compulsory,必修的,强制的
congestion,堵塞,拥挤
contaminated,污染的,毒害的
corridor,走廊,通道
crew,船员,团队
curriculum,课程,体系
damp,潮湿的,
degradation,降级,堕落
deprive,剥夺,丧失
detrimental,有害的,不利的
discipline,学科,纪律
dissertation,论文,论述
drawback,缺点,障碍
drought,干旱,缺乏
essence,精华,本质
estate,地产,身份
excavate,挖掘,发掘
exotic,外来的,奇异
expedition,探险,效率
extraordinary,临时,非凡
fabric,布料,结构
fabulous,传说,极好
flaw,裂纹,缺点
flourish,茂盛,繁荣
forage,觅食,搜寻
foster,抚养,培养
freight,货物,运费
germinate,发芽,萌芽
graze,吃草,擦过
grinding,研磨,折磨
habitat,栖息地,环境
herb,草药,香草
heritage,遗产,传统
hut,小屋,陋室
illiterate,文盲,无知
impose,征收,强加
incentive,奖金,动力
indigenous,土著,固有
intense,剧烈,紧张
interior,内部,内心
juvenile,少年,幼稚
landscape,风景,格局
leaflet,传单,
mineral,矿物,
monopoly,垄断者,垄断
monument,纪念碑,丰碑
moral,道德,寓意
mortality,死亡率,必死
mould,模具,塑造
nurture,养育,培养
nutrient,养分,
obstacle,障碍,阻碍
ozone,臭氧,
pedestrian,行人,平庸
pendulum,钟摆,摇摆
personnel,员工,人事
pest,害虫,讨厌鬼
pharmaceutical,药物,制药
plough,犁,耕耘
premier,总理,首要
premise,,前提
prescribe,开药,规定
ascribe,,归因
prey,猎物,受害者
prospect,景色,前景
radical,根,激进
reckon,计算,认为
recreational,娱乐,消遣
remedy,药方,补救
renowned,,著名的
resemble,像,类似
revised,修订版,修正
rival,对手,竞争
scout,侦察兵,搜寻
sediment,沉淀物,
seminar,研讨会,研讨
settler,定居者,定居
species,物种,种类
specimen,标本,样本
spectacular,壮观的,惊人的
steady,平稳的,坚定的
subsidy,补助金,补贴
temperate,温带的,温和的
territory,领土,领域
therapy,疗法,治疗
thrive,茁壮成长,繁荣
trek,跋涉,艰辛历程
tremendous,巨大的,极好的
vegetation,植被,
venue,场馆,地点
worthwhile,值得做的,有价值的
adverse,,不利的
ailment,小病,
airborne,空中的,
amass,堆积,积累
beforehand,,预先
bolt,螺栓,逃跑
captive,俘虏,入迷的
catalogue,目录,登记
clientele,顾客,
conceal,隐藏,隐瞒
confront,面对,对抗
consensus,,共识
consolidation,加固,巩固
cushion,垫子,缓冲
discrepancy,,差异
dispense,分发,免除
displace,移位,取代
district,区,辖区
drain,排水管,消耗
exaggerate,,夸大
exert,施加,发挥
feat,壮举,技艺
fertile,肥沃的,活跃的
glow,红光,热情
hospitality,招待,好客
humpback,驼背,
imagery,图像,意象
immense,巨大的,无限的
lobby,大厅,游说
metropolitan,大都市的,宗主国的
mitigate,减轻,缓和
moisture,水分,湿气
norm,,规范
nourish,滋养,培育
obligation,,义务
opt,选择,
pat,轻拍,
pitched,倾斜,激烈
plantation,种植园,
prefrontal,额叶前,
profound,深,深刻
prolong,延长,
reluctant,,不愿
renewed,更新,复兴
reproduce,繁殖,复制
rigorous,严格,严谨
ritual,仪式,惯例
scarce,稀少,
shatter,粉碎,破灭
silt,淤泥,
soar,高飞,激增
squash,压扁,压制
strain,拉力,压力
surge,汹涌,激增
symptom,症状,征兆
trance,昏睡,出神
transmit,传输,传播
undergo,经历,
undermine,挖空,削弱
unprecedented,,空前
viable,存活,可行
vigilance,警戒,警惕
wreck,残骸,破坏
yacht,游艇,
