培养良好的习惯, develop good habits
提高文学素养, develop literacy
维持纪律, maintain discipline
行为问题, behaviourous problems
传授明确的行为规范, impart a clear code of conduct
成为社会的好公民, become law-abiding members of society/become good citizens of the community
有礼貌, have good manners
罚站和留堂, grounding and detention
来自贫穷的家庭, from less well-off families
来自贫穷家庭的孩子, from less well-off backgrounds
来自普通家庭, from common families
辍学, drop out of school
教育公平, educational equality
无息贷款, interest-free loans
学习的成本, the cost of study
减少贫穷, reduce poverty
贫穷的学生, disadvantaged students
贫穷的孩子, children from less well-off backgrounds
免除学费, exemplify their tuition fees
教育的公平, educational equality
在大学学习, study at university
财政支持, financial support
摆脱贫穷, get rid of/eradicate/root out poverty
职业培训, occupational training
减少贫富差距, close/narrow/reduce the gap between rich and poor
教育系统, the education system
高等教育, higher education
学校系统, the school system
接受好的教育, receive high-quality education
设立奖学金, set scholarships
受过良好教育的劳动力队伍, a well-educated workforce
公立学校, public schools
学生贷款, student loans
免费获取知识, free access to knowledge
免费教育, free education
宽带服务, broadband internet service
可替代能源, (?)
可再生资源, renewable energy
能源消耗, energy comsumption
自然光, natural light
电动汽车, electric cars
汽车业巨头, car giants
环保材料, environmentally friendly materials
节能, conserve energy
清洁能源, clean energy
能源保护, energy conservation
发电, generate electricity
可持续材料, sustainable materials
混合能源汽车, hybrid cars
