分类,英文短语,短语中文翻译,说明与扩展
技能类短语,increase the burden on ...,加重……的负担,"加重纳税人的负担 increase the burden on taxpayers; 加重医疗体系的负担 increase the burden on the healthcare system"
技能类短语,are interconnected,（国家之间，经济之间）是相互联系的,"国际贸易 international trade; 文化交流 cultural exchange"
安全类短语,pose a threat to society,对社会构成威胁,"“pose”不只是指拍照时摆姿势，pose a threat to 也是地道英文里的常用短语"
安全类短语,prevent crime,预防犯罪,"降低犯罪率 reduce crime rates; 对比：犯罪 commit a crime; 注意：地道英文里不写 do a crime × 或者 make a crime ×"
安全类短语,deter criminals,震慑罪犯,"对比：失去自由 lose their freedom; （囚犯）被和他们的亲友分开 are separated from their family and friends"
安全类短语,reform criminals,改造罪犯,"为他们提供职业教育 provide them with vocational training; 注意：vocational 的前两个字母是 vo; 帮助他们为就业做准备 help them prepare for employment; 成为可以创造有用价值的社会成员 become useful members of society"
安全类短语,address the root causes of crime,从根本上解决犯罪问题,"这个短语里的 address 不是名词“地址”，而是“解决、应对”的意思; 创造就业 create jobs; 减轻贫困 reduce poverty; 减少不平等现象 reduce inequality"
安全类短语,promote violence,（网络游戏、电影等）宣扬暴力,"（儿童）很容易受媒体的影响 are easily influenced by the media"
安全类短语,copy what they see in the media,（儿童）模仿他们在媒体里看到的行为,"变得具有攻击性而且很暴力 become aggressive and violent"
安全类短语,steal personal information,盗取个人信息,"网络诈骗（名词短语） online fraud"
文化类短语,reduce cultural diversity,（跨国公司、文化全球化）减少文化的多样性,"（不同国家的人们）有相似的生活方式 have similar lifestyles"
文化类短语,erode their cultural identity,（文化全球化、小语种灭绝）削弱他们对本国文化或者对本民族文化认同感,""
文化类短语,feel lonely and isolated,（老年人，说小语种的人）感到孤独而且孤立,"对比：（说主流语言的人）有更多的就业机会 have more job opportunities; 有更多的娱乐选择 have more entertainment choices"
