经常运动, an active lifestyle
做运动(英式常用), do sport
有健身设备, access to sports equipment
被现代建筑取代, make way for modern buildings
过健康的生活, have a healthy lifestyle
不喜欢运动, an inactive lifestyle
做运动(美式常用), play sports
室内活动, indoor activities
绿地, green place
稳定的工作, steady work/career
收入很高的工作, well-paid/high-income job
过很舒适的生活, live a comfortable life
支付生活杂费, cover living expenses
过快乐的生活, live a happy life
稳定的收入, steady income
支付生活费, pay bills
支付学费, pay tuition fees
还清房贷, pay off the mortgage/debt
经济困难, financial problems
物质财产, materialistic possessions
时尚的设备, up-to-date equipment
买最先进的版本, buy the lastest model
中产阶级, the middle class
生活在物质的社会, live in a materilistic world
高科技产品, hi-tech products
身份的象征, (as a)status symbol
买的东西多过自己需要的, buy more than they need
消费社会, consumer society/culture
开心和满足, happy and enjoyment
与世隔绝, out of touch with the world
提高生产力, boost productivity
执行重复任务, do repetitive tasks
减少劳动力, reduce the labour
机械化装配线, mechanized assembly lines
过程自动化, automate the process
服务电脑化, computerise the services
减少劳动力成本, reduce the cost of labour
提升自信, develop confidence/self-esteem
过时, out of the times
提高效率, boost efficiency
取代人类劳动力, replace human labour
机械化任务, mechanize tasks
机械化耕作, mechanized farming
手工完成, produce by hand
工业机器人, industrial robots
促进经济, boost the economy
更加容易接触医疗服务, easy access to healthcare services
公办医院, public hospitals
临床经验, clinical experience
患病, contract illness
