研究能力,research skills
分析能力,analytical skills
上网找资料,search the web for knowledge
做调查,do research
领导能力,leadership skills
领导的素质,leadership competencies
组织能力,organizational skills
学术能力,academical skills
解决问题的能力,problem-solving skills
收集信息,gather information
思辨能力,critical thinking skills
电脑能力,computer litercy(?)
实际工作的能力,practical/hands-on skills
丰富技能,sharpen skills
坐飞机出行,travel by air
空运,air transport
进行非必要的旅行,make a non-essential travel
在航空业,in the air industry
差旅费,travel expenses
旅游景点,tourist attractions
温室气体,greenhouse gases
从太阳吸收热量,trap heat from the sun
异常温暖的气候,unusually warm conditions
空航,air transport
通过飞机运输,transport sth by air
价格战,price war
机票费用,air fares
度假,on vacation/holiday
污染源,the source of pollution
聚集在大气中,gather/build up/accumulate in the atmosphere
极端天气,extreme weather conditions
动物实验,animal experiments
做实验,do experiments
研发一种新药,develop a new medicine/drug
副作用,side effects
药物实验,medical experiments
医用品,medical products
动物实验,animal experiments
动物权益团体,animal welfare groups
有好结果,show a promising result
受到虐待,be exposed in abuse(?)
可代替的研究方法,an alternative research method
护肤品,skincare products
历史建筑,historic buildings
古建筑,ancient buildings
文化遗址,cultural sites
历史遗址,historic sites
文化胜地,cultural attractions
建筑地标,architectural landmarks
建筑瑰宝,architectural treasure
进行一次旅行,make a travel/plan a travel
在古时候,in ancient times
文化遗产,cultural heritage
好的榜样,good role models
模仿行为,copy what they see in (social media)
表现得很差,behave hadly
行为问题,behavioural problems
表现出礼貌的行为,show good manners
表现出尊敬,show respect to sb/ a sign of respect
送孩子去学校,send children to school
第一个老师(启蒙老师),the first educator
家庭暴力,domestic violence
不良的行为,bad behaviour
有暴力倾向,show their aggresion
社会规范,social norms
说话有礼貌,speak in a good manner
接孩子,pick up children
竞争优势,a competitive edge/competitive advantage
满足需求,satisfy/keep pace with/meet the demand/the needs
脱颖而出,stand out of the crowd
值得去看看,worth a visit
一次难忘的经历,a memorable experience
视觉体验,visual experience
激烈的竞争,intense/fierce/tough/stiff competition
服务小众市场,serve a niche market
创立一个公司,set up a company
经营一个成功的生意,run a successful business
运营成本,running/operation costs
赚取利润,earn/make benefits
破产,go bankrupt
收支相抵,make ends meet
破产(口语),go bust
性价比很高,(offer) a good value for price
商业计划,business plan
减少成本的措施,cost reduction measures
处理投诉,handle/cope with complaints
限制汽车的使用,curb (private) car use
产生废气,produce exhaust fumes
引起空气污染,result in air pollution
忍受身体不适,suffer from poor health
缓解问题,mitigate the difficulties
增加医疗费用,increase the cost of healthcare
气候变化,climate change
汽车尾气,car fumes/emissions
对我们的健康产生危害,damage our health
解决污染问题,tackle pollution problems
空气质量差,poor air conditions
农业收成不好,a bad harvest in agriculture
全球变暖,global warming
依靠自己努力而出名的人,self-made celebrities
白手起家,start from scrach
过奢侈的生活,lead a luxurous/extravagant life
名牌的衣服,designer clothes
奢华的派对,luxurous/extravagant parties
过节约的生活,lead a frugal life
开豪车,drive prestigious cars
树立坏的榜样,set bad role models
追求物质的东西,become too much materialistic/pursue material goods
摇滚歌手,rock stars
电影明星,movie stars
正面的榜样,positive role models
年青一代,the young generation/the youth/youngsters
体育明星,sports stars
培养技能,develop skills
变得世界闻名,become world famous
楷模,role model
表现出决心,show their determination/perseverance
获得成功,achieve success
羡慕名人,admire celebrities
有名的娱乐圈人士,famous entertainers
成名,achieve famous
忠实粉丝,loyal/devoted fans
著名运动员,famous athletes
激励下一代,inspire the next generation
发展天赋,develop talents
模仿偶像,emulate idols
积极的影响,positive effects
遇到问题,encounter difficulties
慈善组织,charitable organisations
调拨资源,mobilise/allocate resources
医疗救助,medical aid/support
有需要的人,people in need/needy people
生活贫穷的人,less well-off people/people in poverty
贫穷国家,impoverished countries
筹钱,raise funds/money (for charity)
国际援助,international aid
有需要的人,people in need
日常生活用品,basic necessities/daily necessities(?)
摆脱贫穷,break the cycle of poverty/eradicate poverty
第三世界的国家,the Third World countries
遵守着装要求,follow a dress code
穿着正式,dress formally
展现专业形象,show a professional image
社会规则,social rules
社交礼仪,social etiquettes
穿制服,wear uniforms
休闲服装,casual clothes
留下好印象,leave/make a good impression
社会规范,social norms
公共场所,public places
面对面交流,face-to-face communication
人际交往,interact with people/interpersonal skills
面部表情,facial expression
避免误解,avoid/prevent misunderstanding
倾听别人,listen to others
交流能力,communication skills
解释信息;翻译信息,interpret information
肢体语言,body language
以示尊敬,a sign of respect
一个好的听众,a good listener
良好的沟通能力;出色的沟通者,good communication skills
形成牢固的关系,form/build/forge a strong relationship
住得离家很远,live far away from their home
家庭活动,family life
独居,live alone
社交活动,social activities
慈善工作,charity groups
社区凝聚力,community cohesion
有需要的人,people in need
获得帮助,gain help
社区的一分子,a member of community
社区的感觉,a sense of community
筹款,raise money/funds
慈善团体,charity groups
给予帮助,give a helping hand
经历困难时期,experience difficult times
社区的成员,members of community
让人们聚在一起,bring people together/gather together
音乐表演,musical show
电脑游戏,computer games
教育类游戏,educational games
电脑技能,computer skills
计算机素养,computer literacy
联网,connect to the Internet
下载软件,download software
使用在线交流工具,use online communication tools
存储信息,store information
处理文件,process files
编辑照片,edit photos
制作视频,produce videos
消费型社会,consumer society
入不敷出,spend more than they earn
最新的电子设备,the latest digital products
还清债务,pay off debts
低收入家庭,low-income families
买的东西多过自己需要的,buy/purchast more than they need
过度购物,overspend
负债,owe/get into debts
经济问题,economic/financial problems
经济压力,financial pressure
