先进的知识,advanced(?)/advance knowledge
适合居住的星球,habitable planets
为………………提供避难所,provide shelter for (human)
商业化地使用,be used commercially
在恶劣的环境里,in poor conditions/in the hostile environment
太空旅行,space travel
人口增长,population growth
保护我们的文明,protect our civilization
保护衣,protective clothes
在地面上,on the ground
马上有回报,have immediate payoff/rewards
做运动,do sports/play sports
强度适中的运动,moderate intensity sports
去慢跑,go for a jog
去游泳,go for a swim
促进血液循环,boost blood circulation
保持好的身材,keep fit/keep a good body shape
不运动的生活,a sedentary lifestyle/an inactive lifestye
极限运动,extreme sports
温和的身体锻炼,gentle physical exercise
温和的锻炼(不刺激的运动),mild exercise
去快跑,go for a sprint(?)
燃烧卡路里,burn calories
增强体力,enhance physical strength
促进身体健康,boost physical health
受伤,get injured/suffer injuries
专业的教练,professional trianers/coaches
经济压力,economic/financial pressure
协调好工作和家庭之间的关系,achieve a work-life balance
工作投入,work devotedly
找到时间,find free time to do sth
减少压力,reduce pressure
压力的来源,the souce of pressure
感到轻松,feel relaxed
物质的东西,metarial matters
时间管理,time management
财政困难,financial difficulties
时间很紧,with/in(?) a tight schedule
对………………施加更大的压力,impose heavier pressure on sth
应付压力,cope with pressure/stress
感到压力,feel stressed/be under stress
生活费用,live costs
避免拖延,avoid/prevent procrastination
到国外,go overseas
出国学习,study abroad
在全球化的世界中,in the globalised world
来自不同背景,from diverse backgrounds
学习一门外语,master/learn/pick up a foreign language
精通另一门语言,master another language
母语流利,be fluent in mother tongue/the first language
