分类,英文短语,短语中文翻译,说明,所属短语,短语关系
技能类短语,develop their skills,发展他们的技能,,null,null
技能类短语,develop,发展,"英语写作里最常与 their skills 搭配的3个动词是：develop, improve 和 boost",null,null
技能类短语,improve,提高,"英语写作里最常与 their skills 搭配的3个动词是：develop, improve 和 boost",null,null
技能类短语,boost,提升,"英语写作里最常与 their skills 搭配的3个动词是：develop, improve 和 boost",null,null
技能类短语,independent thinking skills,独立思考的技能,,null,null
技能类短语,problem-solving skills,解决问题的技能,,null,null
技能类短语,social skills,社会交往的技能,,null,null
技能类短语,teamwork skills,团队合作技能,,null,null
技能类短语,reading and writing skills,读写技能,,null,null
技能类短语,communication skills,沟通技能,,null,null
技能类短语,computer skills,计算机技能,,null,null
技能类短语,foreign language skills,外语技能,,null,null
技能类短语,develop good learning habits,形成良好的学习习惯,,null,null
技能类短语,learn more efficiently,更高效地学习,,develop good learning habits,扩展短语
技能类短语,deepen their understanding of ...,深化他们对……的理解,"deepen 是 deep 的动词形式",null,null
技能类短语,gain knowledge about ...,获取关于……的知识,,deepen their understanding of ...,同义替换
技能类短语,learn knowledge,学习知识,"native speakers 不说 learn knowledge ×，因为按英文习惯 learn 和 knowledge 两个词不能搭配到一起",null,错误搭配
技能类短语,boost their brain development,促进（儿童的）大脑发育,"例如阅读，玩益智游戏（educational games）",null,null
技能类短语,improve their problem-solving skills,提高他们解决问题的能力,"是 native speakers 的作文里关于技能常用的短语之一，它不但可以指提高解决学习问题的能力，也可以指解决实际生活问题的能力",boost their brain development,扩展短语
技能类短语,Playing chess can boost children's brain development.,下棋可以促进儿童的大脑发育,"【BBC例句】",boost their brain development,例句
技能类短语,Video games can improve players' problem-solving skills.,电子游戏可以提高玩家的问题解决能力,"【剑桥例句】",boost their brain development,例句
技能类短语,encourage their imagination,激发他们的想象力,,null,null
技能类短语,think creatively,有创意地思考,"当 encourage 后面是心理活动时它是“激发”的意思",encourage their imagination,搭配动词
技能类短语,expand their horizons,开阔他们的眼界,"（旅行、学外语）开阔他们的眼界，这个短语里的 horizons（眼界）必须用复数",null,null
技能类短语,broaden their horizons,拓宽他们的眼界,"本来也是一条地道短语，可惜被中国同学们长期 overuse（过度使用）",expand their horizons,同义替换
技能类短语,improve their social skills,提高他们的社会交往能力,,null,null
技能类短语,develop their teamwork skills,发展他们的团队合作能力,,improve their social skills,扩展短语
技能类短语,work closely together,一起紧密地合作,"（学生、员工、团队成员、国家等）一起紧密地合作",null,null
技能类短语,improve their teamwork skills,提高他们的团队合作技能,,work closely together,扩展短语
技能类短语,increase their independence,增强他们的独立性,,null,null
技能类短语,make shopping more efficient,让购物变得更高效,,null,null
技能类短语,make communication more efficient,让沟通变得更高效,,null,null
技能类短语,make the best use of their time,更充分地利用他们的时间,,null,null
技能类短语,is a waste of their time,是浪费他们的时间,"对比：",make the best use of their time,反义表达
技能类短语,boost efficiency,提高效率,,null,null
技能类短语,boost productivity,提高生产率,"efficiency 可以泛指做任何事的效率，而 productivity 则是特指生产率",boost efficiency,具体化
技能类短语,boost their performance,提升他们的（学习或者工作的）表现,"【经济学人例句】A work-life balance (工作和生活之间的平衡) can boost employees' performance.",null,null
技能类短语,A work-life balance can boost employees' performance.,工作与生活的平衡可以提升员工的表现,"【经济学人例句】",boost their performance,例句
技能类短语,make life more convenient and comfortable,让生活变得更方便舒适,,null,null
技能类短语,technological innovations,科技创新(名词短语),,make life more convenient and comfortable,扩展短语
技能类短语,artificial intelligence,人工智能(名词短语),,make life more convenient and comfortable,扩展短语
技能类短语,self-driving cars,无人驾驶汽车(名词短语),,make life more convenient and comfortable,扩展短语
技能类短语,help them prepare for employment,帮助他们为就业做准备,,gain practical experience,同义替换
技能类短语,gain practical experience,获取实践经验,,null,null
技能类短语,Law schools often send their students to gain practical experience by giving free advice to people in need.,法学院经常派学生通过向有需要的人提供免费建议来获得实践经验,"【经济学人例句】",gain practical experience,例句
技能类短语,have more job opportunities,有更多的就业机会,,null,null
技能类短语,achieve their potential,充分发挥出他们的潜力,"注意：potential 不能用复数",null,null
技能类短语,achieve their goals,实现他们的目标,,achieve their potential,同义替换
技能类短语,save time and energy,节省时间和精力,,null,null
技能类短语,make learning more efficient,让学习变得更高效,,save time and energy,扩展短语
