完成学业, complete degree courses
投入时间和金钱, a investment of time and money
上专业课, take core subjects
填补(劳动力市场上的)知识空白, fill the knowledge blank
从事一份工作, pursue a career in
学术课程, academic lessons
偏爱的学习领域, preffered study areas
对………………有热情, passionate for sth
发掘天赋, discover talents
财政情况, financial situation/circumstances
职业课程, vocational courses
领域知识, domain knowledge
符合兴趣, (?)
有兴趣去学习, show enthusiasm for study
事业上的成功, career success
就业机会, job opportunities
搬去城市, relocate to cicites
满足需求, satisfy/meet/keep pace with the demand
买得起房子, afford housing/house ownership
影响生活质量, affect the quality of life
不断增长的人口, growing population
人口扩张, population expansion
增加压力, put pressure on
公共交通服务, public transport service
交通费用, transport costs
人口流动大, population is mobile
和民生有关的服务, essencial/basic services
消费者商品, consumer goods
消费者产品, consumer products
污染环境, contaminate/pollute the environment
工业浪费, industrial waste
扔垃圾, drop/throw litter
焚烧垃圾, incinerate waste
进入食物链, enter the food chain
家庭用品, househould products/appliances
填埋在垃圾场, (?) be in the landfill sites
家庭垃圾, household waste
家庭垃圾, family waste
扔垃圾, throw rubbish
处理垃圾, handle waste
有害的垃圾, harmful waste
淡水, (?)
自来水, tap water
一个对公众健康的威胁, a threaten to public health
水污染, water pollution
污染水, pollute water
污染严重, be heavily polluted
一个干净水源, a clean source of water
瓶装水, bottled water
水土流失, earth erosion
