group_number,topic_id,topic_name
1,1,Teachers
1,2,Social media
1,5,Websites
1,7,Shopping
1,9,Parks
1,10,Cars
1,12,Science
1,17,Clothing
1,18,电子产品故障
1,20,擅长学习和说语言的人
1,22,遇到的科技问题
1,23,推荐旅行过的地方
1,26,包含动物的故事或书
1,27,别人帮助解决问题
1,28,想颁布的环保法律
2,1,Teachers
2,12,Science
2,14,Telling Jokes
2,18,电子产品故障
2,22,遇到的科技问题
2,24,最近看过的电视/网络节目
2,28,想颁布的环保法律
3,2,Social media
3,5,Websites
3,9,Parks
3,12,Science
3,20,擅长学习和说语言的人
3,28,想颁布的环保法律
4,1,Teachers
4,2,Social media
4,3,Music
4,7,Shopping
4,8,Feeling bored
4,9,Parks
4,12,Science
4,14,Telling Jokes
4,17,Clothing
4,22,遇到的科技问题
5,1,Teachers
5,7,Shopping
5,11,Outer space and stars
5,12,Science
5,19,重要决定
5,20,擅长学习和说语言的人
5,23,推荐旅行过的地方
5,28,想颁布的环保法律
5,30,克服困难成功的人
6,1,Teachers
6,2,Social media
6,5,Websites
6,9,Parks
6,10,Cars
6,12,Science
6,20,擅长学习和说语言的人
6,22,遇到的科技问题
6,23,推荐旅行过的地方
6,28,想颁布的环保法律
7,9,Parks
7,12,Science
7,28,想颁布的环保法律
