word,input
acoustic,声学的
acquisition,获得的
advent,出现
agile,敏捷
agitate,
anticipate,参与
appraisal,
appreciation,鉴赏
apprenticeship,学徒
archaeology,考古
Arctic,北极
arousal,激起
assess,
auditorium,礼堂
attribute,归因
brochure,小册子
cater,供餐
cereal,谷物
chronic,长期的
commodity,商品
communal,共有的
compound,复合体
comprise,组合自
compulsory,强制的
congestion,阻塞
contaminated,污染的
corridor,走廊
crew,成员
curriculum,课程
damp,
degradation,堕落，降级
deprive,剥夺
detrimental,有害
discipline,科目，训练
dissertation,论文
drawback,坏处
drought,干旱的
essence,本质
estate,
excavate,挖掘
exotic,外部的
expedition,冒险
extraordinary,不同寻常的
fabric,植物
fabulous,不同寻常的
flaw,
flourish,鲜花繁茂的
forage,密室
foster,
freight,
germinate,繁殖
graze,
grinding,
habitat,栖息地
herb,草药
heritage,遗产
hut,小房子
illiterate,文盲
impose,使用
incentive,刺激
indigenous,土著
intense,刺激
interior,内部的
juvenile,年轻人
landscape,地标
leaflet,小册子
mineral,矿物
monopoly,垄断者
monument,纪念碑
moral,道德
mortality,致死性
mould,
nurture,养育
nutrient,养料
obstacle,阻碍
ozone,臭氧
pedestrian,
pendulum,悬挂
personnel,人员
pest,害虫
pharmaceutical,
plough,犁地
premier,首相
premise,前提
prescribe,
ascribe,
prey,掠夺
prospect,前景
radical,激进的
reckon,估计
recreational,娱乐
remedy,补救
renowned,
resemble,像
revised,审阅
rival,
scout,侦察兵
sediment,沉淀
seminar,
settler,定居者
species,物种
specimen,标本
spectacular,
steady,坚持
subsidy,
temperate,温度
territory,
therapy,
thrive,
trek,
tremendous,
vegetation,植物
venue,
worthwhile,值得的
adverse,对抗
ailment,
airborne,天上的
amass,聚集
beforehand,前额
bolt,螺栓，雷霆
captive,俘虏，被捕获的
catalogue,分类
clientele,客户
conceal,隐藏
confront,对抗
consensus,共识
consolidation,联盟
cushion,垫子
discrepancy,不一致
dispense,
displace,替换
district,
drain,排干
exaggerate,夸大
exert,施加
feat,才艺
fertile,肥沃的
glow,暗淡的光
hospitality,好客的
humpback,驼背
imagery,意向
immense,
lobby,
metropolitan,超大都市
mitigate,削弱
moisture,潮湿
norm,常态
nourish,
obligation,
opt,选择
pat,拍打
pitched,带有音符的
plantation,
prefrontal,前额的
profound,程度非常深的
prolong,延长
reluctant,
renewed,翻新的
reproduce,繁殖
rigorous,
ritual,
scarce,非常少的
shatter,粉碎
silt,
soar,升高
squash,粉碎
strain,扭伤，超过极限
surge,潮，升起
symptom,症状
trance,恍惚
transmit,传播
undergo,遭受
undermine,被损害
unprecedented,前无古人的
viable,可行的
vigilance,
wreck,损害，残骸
yacht,小艇
