情感上的支持, emotional support
电影行业, the movie industry
去电影院, go to the cinema
特技效果, special effacts
票房, the box office
最卖座的电影, top-grossing movies
大预算电影, big-budgets movies
由巨星主演, (the movie)stars famous actors
有天赋的电影人(制片人), talentaed filmmakers
制作高质量的电影, produce high-quality movies
国产电影, domestical movies
当地制作的电影, locally made movies
做饭, cook meals
做饭技能, cooking skills
生活技能, life skills
准备饭菜, prepare meals
水果和蔬菜, fruits and vegetables
健康的饮食, a healthy diet
均衡的饮食, a balanced diet
快餐, fast food
碳酸饮料, fizzy drinks
新鲜的食材, fresh ingredients
吃脂肪过多的食物, eat fatty food
鱼和薯条, fish and chips
高盐高糖的, (?)
对抗肥胖问题, combat obesity
增加产量, increase yields
种庄稼, cultivate crops
收成很好, a good harvest in agriculture
使用杀虫药, apply pesticides
食品价格, food prices
基因工程, Genetic Engineering
抗虫害, be strong against pests and diseases
使用防腐剂, apply preservatives
生长得更快, grow faster/more rapid
食品生产, food prodcution
种庄稼, grow crops
化肥, (?)
病虫害, pests and diseases
转基因食品, GM/Genetically modified food
高产量的庄稼, high-yields crops
高密度农场, intensive farming
机械化种植, mechanisedfarming
食物短缺, food shortages
朋友圈, a circle of friends
建立关系网, build up a net of relationships
成为好朋友, make good friends
形成良好的关系, form a good relationship
发展一段终生的友谊, develop a lifelong friendship
持续的友谊, a lasting friendship
