分类,英文短语,短语中文翻译,说明与扩展
健康,have a balanced diet,保持均衡的饮食结构,"提高身体的免疫机能 boost the immune system；对比：（快餐）含有过多的脂肪和糖 contain too much fat and sugar；破坏我们的健康 damage our health；“严重依赖于……” rely heavily on ...；严重依赖于快餐 rely heavily on fast food；严重依赖于汽车 rely heavily on cars；严重依赖于科技 rely heavily on technology"
健康,promote healthy lifestyles,（政府、媒体、学校）推广健康的生活方式,"鼓励人们去选择健康的食品 encourage people to make healthy food choices"
健康,improve healthcare services,改善医疗服务,"医学研究（名词短语） medical research"
健康,have a sense of belonging,（员工、居民）有归属感,"缺乏归属感 lack a sense of belonging；对比：感到孤独而且很不开心 feel lonely and unhappy；感到孤独而且很孤立 feel lonely and isolated"
财务类短语,consumer culture,崇尚消费的文化,"它的意思不是“消费者文化”×，而是“崇尚消费的文化”√；增加对于产品的需求 increase the demand for products；创造就业 create jobs；对比：对自然资源构成压力 put pressure on natural resources"
财务类短语,often overspend,经常过度消费,"购买他们并不真正需要的物品 buy things that they do not really need；欠下债务 have debts"
财务类短语,focus on money and possessions,集中精力在金钱和财产上面,"过于物质化的，过于追求物质享受的 are too materialistic"
财务类短语,have good spending habits,有良好的消费习惯,"对比：经常过度消费 often overspend；冲动地购物 buy things on impulse"
财务类短语,reduce costs,（企业）减少开支,""
财务类短语,provide lower prices,（网络商店）提供更低的价格,"价格更合理 are more affordable"
财务类短语,low-income families,低收入的家庭（名词短语）,"减少贫困 reduce poverty；减少不平等现象 reduce inequality"
财务类短语,give financial support to ...,（政府、大学、发达国家等）为……提供资助,"对比：（学校、博物馆等）资金不足 are under-funded"
财务类短语,have more important concerns,（政府）还有其它更加急需关注的问题,"只有有限的可用资金 have limited funds to spend"
财务类短语,raise people's standard of living,改善人民的生活水平,"改进公共服务，例如教育、医疗、公共交通 improve public services"
财务类短语,pay taxes,纳税,"政府税收（名词短语） government tax revenue；规律：政府的收入叫 revenue，个人的收入叫 income"
财务类短语,contribute to the economy,对经济做出贡献，例如广告、历史建筑、旅游业,""
财务类短语,boost economic growth,促进经济的增长,"economy 是名词“经济”，economic 是形容词“经济的”"
财务类短语,create jobs,创造就业,"让国家变得更有竞争力 make the country more competitive"
财务类短语,take away jobs from ...,（跨国公司、长距离运输的食品、人工智能）抢走……就业机会,"跨国公司 multinational companies / multinational corporations；【经济学人例句】Food that is transported over long distances takes away jobs from local farmers and local food producers (当地食品生产商)"
财务类短语,increase the burden on ...,加重……的负担,"加重纳税人的负担 increase the burden on taxpayers；加重医疗体系的负担 increase the burden on the healthcare system"
财务类短语,are interconnected,（国家之间，经济之间）是相互联系的,"国际贸易 international trade；文化交流 cultural exchange"
安全类短语,pose a threat to society,对社会构成威胁,"“pose”不只是指拍照时摆姿势，pose a threat to 也是地道英文里的常用短语"
安全类短语,prevent crime,预防犯罪,"降低犯罪率 reduce crime rates；对比：犯罪 commit a crime；注意：地道英文里不写 do a crime × 或者 make a crime ×"
