分类,英文短语,短语中文翻译,说明与扩展
技能类短语,gain practical experience,获取实践经验,"【经济学人例句】：Law schools often send their students to gain practical experience by giving free advice to people in need."
技能类短语,have more job opportunities,有更多的就业机会,"帮助他们为就业做准备；help them prepare for employment"
技能类短语,achieve their potential,充分发挥出他们的潜力,"注意：potential不能用复数；实现他们的目标：achieve their goals"
效率类短语,save time and energy,节省时间和精力,"（新的科技）让学习变得更高效：make learning more efficient；（网络商店）让购物变得更高效：make shopping more efficient；（现代通讯工具）让沟通变得更高效：make communication more efficient"
效率类短语,make the best use of their time,更充分地利用他们的时间,"对比：是浪费他们的时间：is a waste of their time"
效率类短语,boost efficiency,提高效率,"提高生产率：boost productivity；辨析：efficiency可以泛指做任何事的效率，而productivity则是特指生产率"
效率类短语,boost their performance,提升他们的（学习或者工作的）表现,"【经济学人例句】：A work-life balance（工作和生活之间的平衡）can boost employees' performance."
效率类短语,make life more convenient and comfortable,让生活变得更方便舒适,"科技创新（名词短语）：technological innovations；人工智能（名词短语）：artificial intelligence；无人驾驶汽车（名词短语）：self-driving cars"
效率类短语,find information quickly and easily,快速、轻松地找到信息,"提供多种多样的信息：provide a variety of information"
效率类短语,have a competitive edge,（求职者、企业、国家等）有竞争优势,"native speakers不写have a competition edge ×；面对激烈的求职竞争：face tough competition for jobs"
权利类短语,have more freedom,（在家远程上班的员工、独居的人）有更多的自由,"尊重他们的选择：respect their choices"
权利类短语,should be a personal choice,应该纯属个人的选择,"一个自由、公正的社会：a free and fair society"
权利类短语,provide people with more choices,（科技、网络购物等）为人们提供更多的选择,"（食品科技）为人们提供更多的食品选择：provide people with more food choices；（网络商店）为人们提供更多的购物选择：provide people with more shopping choices"
权利类短语,can achieve a work-life balance,可以实现工作和生活之间的平衡,""
