分类,英文短语,短语中文翻译,说明与扩展
环境类短语,put pressure on...,对……（自然资源、医疗体系等）构成压力,"(人口) 快速地增长 grow rapidly; 崇尚消费的社会 consumer society; 对自然资源构成压力 put pressure on natural resources"
环境类短语,reduce biodiversity,减少生物的多样性,"破坏动植物的自然栖息地 destroy natural habitats; 拼写：注意 habitat（栖息地）和 habits（习惯）的拼写不同"
环境类短语,become overcrowded,(城市、街道) 变得过于拥挤,"城市居民 city dwellers/urban residents"
健康类短语,cause health problems,导致健康问题,"增加患心脏病和高血压的风险 increase the risk of heart disease and high blood pressure"
健康类短语,have a stressful lifestyle,在生活中承受着很大的压力，“压力山大”,"经常加班 often work overtime"
健康类短语,suffer from stress and anxiety,受到压力和焦虑的困扰,"对比：减轻压力和焦虑 reduce stress and anxiety; 在英国，“有……的生活方式”除了 have a ... lifestyle 这个短语之外，还可以写 lead a ... lifestyle：have / lead a stressful lifestyle; have / lead a healthy lifestyle; “形成……的生活方式”，native speakers 则会用 develop 这个动词：develop an eco-friendly（环保的）lifestyle; develop a sedentary（缺少运动的）lifestyle"
健康类短语,develop an active lifestyle,形成经常运动的生活方式,"提高身体的免疫机能 boost the immune system; 对比：（经常打游戏、上网）形成缺少运动的生活方式 develop a sedentary lifestyle"
健康类短语,have a balanced diet,保持均衡的饮食结构,"提高身体的免疫机能 boost the immune system; 对比：（快餐）含有过多的脂肪和糖 contain too much fat and sugar; 破坏我们的健康 damage our health; “严重依赖于……” rely heavily on ...; 严重依赖于快餐 rely heavily on fast food; 严重依赖于汽车 rely heavily on cars; 严重依赖于科技 rely heavily on technology"
健康类短语,promote healthy lifestyles,(政府、媒体、学校) 推广健康的生活方式,"鼓励人们去选择健康的食品 encourage people to make healthy food choices"
健康类短语,improve healthcare services,改善医疗服务,"医学研究（名词短语） medical research"
健康类短语,have a sense of belonging,(员工、居民) 有归属感,"缺乏归属感 lack a sense of belonging"
