分类,英文短语,短语中文翻译,说明,所属短语,短语关系
责任类短语,build family bonds,增进亲情,"build family bonds 在 native speakers 讨论家庭话题时极为常用，这个短语里的 bonds 不是 007，而是指“情感联系”",null,null
责任类短语,build family bonds,增进亲情,"【BBC 例句】Reading together as a family is a good way to build family bonds while having fun and gaining knowledge (获取知识) together.",null,null
责任类短语,communicate with them,和他们沟通,,build family bonds,扩展短语
责任类短语,good role models,好的榜样（名词短语）,,null,null
责任类短语,teach them the difference between right and wrong,教孩子明辨是非,,good role models,扩展短语
责任类短语,have busy careers,有忙碌的事业,,null,null
责任类短语,cannot achieve a work-family balance,无法实现工作和家庭之间的平衡,,have busy careers,扩展短语
责任类短语,spoil their children,溺爱他们的孩子,,have busy careers,扩展短语
责任类短语,develop a sense of responsibility,形成责任感,,null,null
责任类短语,contribute to their community,为他们的社区做贡献,,null,null
责任类短语,become useful members of society,成为有用的社会成员,,null,null
责任类短语,develop their social skills,发展他们的社会交往技能,,become useful members of society,扩展短语
责任类短语,have more life experience,有更丰富的人生经验,,null,null
责任类短语,share their life experience with young people,和年轻人分享他们的人生经验,,have more life experience,扩展短语
责任类短语,help them avoid mistakes,帮助他们避免错误,,have more life experience,扩展短语
责任类短语,provide a broad curriculum,提供科目广泛的课程安排,,null,null
责任类短语,core subjects,核心科目,,provide a broad curriculum,具体分类
责任类短语,optional subjects,选修科目,,provide a broad curriculum,具体分类
责任类短语,prepare for the knowledge-based economy,为适应知识经济做准备,,null,null
责任类短语,develop their problem-solving skills,发展他们解决问题的技能,,prepare for the knowledge-based economy,扩展短语
责任类短语,guide their students,(教师)指导他们的学生,,null,null
责任类短语,guide their children,(家长)指导他们的孩子,,guide their students,同义替换
责任类短语,do voluntary work,做志愿者工作，做义工,,null,null
责任类短语,build trust and respect,建立理解和尊重,,do voluntary work,扩展短语
责任类短语,improve public services,(政府)改进公共服务，例如教育、医疗、公共交通,,null,null
责任类短语,healthcare services,医疗服务,,improve public services,具体分类
责任类短语,public transport services,公共交通服务,,improve public services,具体分类
责任类短语,make the country more competitive,让国家变得更有竞争力,,null,null
责任类短语,have limited funds to spend,只有有限的可用资金,"对比：",make the country more competitive,对比
责任类短语,create jobs,创造就业,,null,null
责任类短语,contribute to the local economy,为当地的经济做贡献,,create jobs,扩展短语
责任类短语,take away jobs from ...,抢走……的就业机会,"对比：",create jobs,对比
责任类短语,reduce poverty,减少贫困现象,,null,null
责任类短语,poverity is poor 的名词形式：贫困,"说明：",reduce poverty,说明
责任类短语,low-income families,低收入家庭（名词短语）,"说明：",reduce poverty,具体分类
责任类短语,reduce inequality,减少不平等现象,,null,null
责任类短语,achieve their potential,充分发挥出他们的潜力,,reduce inequality,扩展短语
责任类短语,introduce laws to ...,通过立法来……（减少污染，保护野生动物等）,"这个 introduce 不是介绍，而是“引入”的意思",null,null
责任类短语,fine companies that ...,对……的公司处以罚款,"【经济学人例句】The government will introduce laws to fine companies that pollute the environment.",introduce laws to ...,搭配动词
责任类短语,raise public awareness of ...,提高公众的……意识,,null,null
责任类短语,raise public awareness of health issues,提高公众对健康问题的意识,,raise public awareness of ...,具体分类
责任类短语,raise public awareness of environmental issues,提高公众对环境问题的意识,,raise public awareness of ...,具体分类
责任类短语,run campaigns to ...,开展大规模的宣传活动来……,"这个 run 不是跑步，而是“举办”的意思",raise public awareness of ...,搭配动词
责任类短语,provide reliable information,(广告、报纸等)提供可靠的信息,,null,null
责任类短语,provide misleading information,(广告、报纸等)提供有误导性的信息,"反义：",provide reliable information,反义
责任类短语,relaible,"“可靠的”",,null,null
责任类短语,relaible public transport services,可靠的公共交通服务,,relaible,派生词
责任类短语,relaible healthcare services,可靠的医疗服务,,relaible,派生词
责任类短语,pollute the environment,污染环境,,null,null
责任类短语,damage our health,破坏我们的健康,,pollute the environment,扩展短语
责任类短语,create waste and pollution,产生垃圾废料和污染,,null,null
责任类短语,cause health problems,导致健康问题,,create waste and pollution,扩展短语
责任类短语,increase carbon emissions,（汽车、飞机、工厂等）增加碳排放,,null,null
责任类短语,car fumes,汽车尾气,,increase carbon emissions,具体分类
责任类短语,reduce carbon emissions,减少碳排放,"对比：",increase carbon emissions,对比
责任类短语,contribute to global warming,（汽车、飞机、工厂等）加剧全球变暖,,null,null
