word,score
anticipate,6
exotic,-1
fabric,10
forage,10
germinate,10
impose,10
intense,10
landscape,10
pendulum,10
revised,10
temperate,9
adverse,10
beforehand,10
feat,-1
agitate,10
appraisal,8
assess,8
damp,10
estate,10
flaw,10
foster,10
freight,0
graze,8
grinding,10
mould,9
pedestrian,10
pharmaceutical,9
prescribe,10
ascribe,10
renowned,10
rival,10
seminar,10
spectacular,0
subsidy,0
territory,10
therapy,10
thrive,10
trek,10
tremendous,0
venue,-1
ailment,10
dispense,10
district,0
immense,0
lobby,10
nourish,10
obligation,10
plantation,10
reluctant,10
rigorous,10
ritual,0
silt,10
vigilance,10
fabulous,10
steady,10
airborne,5
consolidation,6
pitched,10
expedition,8
flourish,10
prey,10
acquisition,10
comprise,10
drought,6
mortality,10
glow,10
hospitality,9
imagery,10
undermine,10
apprenticeship,10
degradation,10
incentive,8
catalogue,10
metropolitan,9
renewed,9
squash,10
