同辈的压力,peer pressure
与邻居交往,socialise with neighboors
获得经济支持,gain financial support
与朋友出去玩,hang out with friends
亲密的朋友,close friends
商业机会,commercial opportunities
性别歧视,gender bias
性别偏见,(?)the discrimination on grounds of gender
教育公平,educational equality/equal access to education
缩小性别差距,narrow gender gaps/gender gap narrows
商业领袖,business leaders
性别歧视,gender discrimination
性别平等,gender equality
性别差异,gender differences
管理技能,managerial competenceis/skills
董事会成员,members of the board
(女性) 打破职位提升的障碍,break/shatter the glass ceiling
进入职场,enter the workforce
养家糊口,feed family
减少男女歧视,reduce gender discrimination
全球变暖,global warming
温室气体,greenhouse gases
存储来自太阳的热量,trap heat from the sun
异常温暖的气候条件,unusually warm conditions
气候变化,climate change
聚集在大气中,build up/accumulate in the atmosphere
极端天气条件,extreme weather conditions
政府介入,government intervention
发起宣传活动,launch awareness campaigns
制定法律,introduce laws
征收烟草税,impose tax on tabbaco
保持健康,keep fit/keep healthy
政府行为,government actions
颁布法律,release laws
加紧监管,tighten the regulation
控制吸烟,curb smoking
预防比治疗重要,prevention is more important than the cure
公共花园,public gardens
慢跑,go for a jog
减轻压力,reduce stress
开花植物,flowering plants
做户外运动,do outdoor exercises(?)
感觉放松,feel relaxed
保持身材,keep fit
常青树,evergreen trees
美丽的风景,beautiful landscapes(?)
欣赏风景,take in the landscape
领略风光,appreciate the view
极好的景色,stunning landscapes/views/scenery
赞美景色,appreciate the scenery
获得幸福(结果),attain happiness
找到乐趣,find joy/pleasure
满足基本需求,satisfy basic demands/meet the demand/requirement
更高的生活水平,higher living standards
感到紧张,feel stressed
家庭生活,family life
感到孤独,feel lonely
挣钱,earn money
享受快乐的退休时光,enjoy a happy retirement life
感受幸福(过程),experience happiness
找到乐趣,find pleasure
改善生活水平,improve the standard of living
过上舒适的生活,lead a comfortable life
非经济因素,non-financial factors
社会生活,social life
有体面的收入,have a decent income
实现职场成功,achieve career success
捐钱,donate money
保持健康,keep healthy
危害健康,damage their health
专注于工作,focus/concentrate on work/specialise in the work
促进身体健康,improve physical health
容易有健康问题,be prone to health problems
实现自己的梦想,achieve/attain their dreams
经济价值,economic values
一个久坐的生活方式,a sedentary lifestyle
对健康有危害,is harmful for their health(是for吗？)
患上心脏病,get into/contract heart diseases
病假,(ask for a )sick leave
看医生,see a doctor
实现自己的目标,achieve/attain their goals
住房短缺,housing shortages
人口很多的城市,densely populated cities
为………………腾出空间,make room for sth
住房市场,the housing market
城市规划,urban planning
重新开发破旧城区,redevelop run-down buildings
住宅楼,residential buildings
国家房(政府补贴的“公租房”/福利房),state housing
付按揭款,pay off the mortgage
高层建筑,high-rise buildings
乡镇,provincial towns
房产开发商,housing developers
容纳人,accommodate people
低建筑密度的社区,low-density communities
土地稀缺城市,land-scarce cities
满足对住房日益增长的需求,satisfy the rising demand of housing
拆除老房子,tear down/demolish old/run-down buildings
网络科技,web-based technology
在家里工作,work at/from home
远程办公,teleworking/telecommuting/work at/from home
上网购物,shop/purchase online
上网课,take online courses
去公司,travel to work
上班路程远,a long commuting distance
省时间,save time
面对面的交流,a face-to-face communication
开会,attend meetings
避开交通高峰时段,avoid rush-hour traffic
在网上看视频,watch videos online
正式的场合,in a formal case/situation
社交媒体网站,social media
视频聊天软件,video chat programmes
失去工作,lose job
失业率,the jobless rate/the unemployment rate
创造就业机会,create job opportunities
谋生/维持生计,earn a living/make a living
赚钱,earn money
生活得好/过上好日子,lead a good life
老龄化,population ageing
失业,be out of work
减少失业问题,tackle unemployment problems
提供就业机会,provide them with job opportunities
赚取薪水,earn their salaries
养家,feed their family
经济危机,an economic recession/crisis
外国产品,foreign products/(国内产品？)domestically produced goods
很积极的员工,well-motivated employers
提高积极性,improve their motivation/motivate them
过舒服的生活,lead a comfortable life
加薪,(ask for a) pay rise
一个好的激励因素,a good motivator
进步感,a sense of progress
养家糊口,feed their family
归属感,a sense of belonging
一个好的工作环境,(with) good working conditions
获得工作满意度,(?)improve their working satisfication
让员工更加忠诚,inspire their loyalty
工作环境,working coditions
灵活的工作模式,flexible patterns of work
稳定的职业,a steady career
劳动力市场,(?)the labour market
激烈的竞争,intense competition
找到工作,find their jobs
稳定的收入,a steady income
支付生活费,pay for living expenses
获得一个学位,complete a degree
丰富技能,sharpen their skills
工作条件,working coditions
工作关系,working relationships
竞争激烈,intense competition
提高工作的稳定性,have job security
失业,be out of work(?job?)
增加收入,increase income
接受培训,undergo/receive training
符合要求,meet the demand
读书,read a book
知识型经济,the knowledge-based economy
增长知识,enhance knowledge
实现个人的野心,achieve their ambitions
在线阅读文章,read articles online
获得知识,gain knowledge
一个重要的知识来源,an important source of knowledge
数字图书,digital books
开阔思路,broaden their minds
开阔眼界,broaden their horizons
了解最新发生的事情,keep up to date with what is happening
对………………保持消息灵通,keep informed of sth
