chinese, phrase
实现, achieve
实现他们的目标, achieve their goal
实现工作和生活之间的平衡, achive a work-life balance
实现可持续发展, achieve sustainable development
(老建筑)吸引很多游客, attract many tourists
(广告)吸引人们的注意力, attract people's attention
(青少年、被改造的罪犯)成为有用的社会成员, become useful members of society
对(电子游戏、社交媒体、垃圾食品)上瘾, be addicted to 
(模仿媒体暴力的青少年)变得有攻击性而且很暴力, become aggressive and violent
提高效率, boost efficiency
提高生产率, boost productivity
(广告)提高产品的销量, boost the sale of products
提升(学生或者员工的)表现, boost their performance
促进经济的增长, boost economic growth
促进(儿童的)大脑发育, boost brain development
促进性别平等, boost gender equality
建立信任和尊重, build trust and respect
增进亲情, build family bonds
(人口老龄化)导致劳动力短缺, cause labour shortages
(垃圾食品)导致健康问题, cause health problems
(不同的语言)导致误解, lead to misunderstanding
(快餐)含过多的脂肪、盐或糖, "contain too much fat, salt, and sugar"
(电子游戏、电影)含有暴力的画面, contain violent images
旅游业, tourism
毕业生, the graduates
加剧全球变暖, contribute to global warming
(青少年)模仿他们在电子游戏里看到的行为, copy what they see in video games
模仿他们在媒体里看到的行为, copy what they see in the media
创造就业, create jobs
产生垃圾废料和污染, create/produce waste and pollution
(垃圾食品、缺少运动的生活方式)破坏他们的健康, damage their health
(打游戏、看电视过久)破坏他们的视力, damage their eyesight
破坏环境, damage the environment
深化他们对文化传承的理解, deepen their understanding of (cultural) heritage
(游客)深化他们对当地文化的理解, deepen their understanding of local culture
发展他们的社会交往技能, develop their social skills
形成良好的学习习惯, develop good learning/study habits
形成经常运动的生活方式, develop active lifestyles
(对比)形成缺少运动的生活方式, develop sedentary lifestyles
震慑犯罪, deter crime
震慑潜在的罪犯, deter potential criminals
鼓励人们去…………………, encourage people to
激发想象力, stimulate/incentive imagination
激发创造力, stimulate creativity
削弱他们对本国文化或者对本民族文化的认同感, erode their national identity
开阔他们的眼界, broaden their horizons
扩展他们关于………………的知识, expand their knowledge of 
"感到很有动力, feel motivated
"感到沮丧, feel frustrated
感到孤独而且不快乐, feel lonely and unhappy
感到孤独而且孤立, feel lonely and isolated
快速而且轻松地找到信息, find information quickly and easily
找到工作, find jobs
获取知识, gain knowledge
获取实践经验, gain practical experience
为 提供资助, provide sb with financial support
(家长)给孩子建议与支持, give children suggestions/advice and support
给(学生、员工、居民)一种归属感, give them a sense of belonging
(家长)指导他们的孩子, guide their child
(教师)指导他们的学生, guide their students
有更多的自由, have more freedom
有更多的就业机会, have more job opportunities
有竞争优势, have a competitive edge
(不同国家的人们)有相似的生活方式, have similar lifestyles
(老年人)有更多的人生经验, have more life experience
对(不健康的食品、污染环境的产品)征收重稅, impose high taxes on
增强他们解决问题的技能, improve their problem solving skills
改进公共服务(例如教育、医疗、公共交通), improve public services
增加对于(产品、自然资源)的需求, increase the demand for 
增加(纳税人、医疗体系)的负担, increase the burden on
(汽车数量增加、食品运输)增加碳排放, increase carbon emissions
增加患心脏病和高血压的风险, increase the risk of heart disease and high blood pressure
(农业科技)增加食品供应, incress food suply
在网上和朋友们交流互动, interact with friends online
(游客)和当地人交流互动, interact with local people
缺乏(工作或者学习的)动力, (?) are not motivated/lack motivation
缺少归属感, lack a sense of belonging
(现代建筑)缺少个性特色, lack character
(老建筑)看起来很独特, look unique
(广告让产品)看起来更有吸引力, look more attractive
失去他们的传统, lose their traditions
失去他们的工作, lose their jobs
(网购)让购物变得更高效, make shopping more efficient
(互联网、手机)让沟通变得更高效, make communication more efficient
(科技)让生活变得更方便舒适, make the life more comfortable and convenient
(老建筑、公共艺术)让城市变得更有趣而且令人愉快, make cities more funny and enjoyable
让(青少年)变得更独立, become more independent
让(学生)变得更有创造力, become more creative
纳税, pay taxes
(污染环境的公司)交纳罚款, pay fines
污染空气, pollute air
污染环境, pollute the environment
(罪犯)对社会构成威胁, pose a threat to society
对人们的安全构成威胁, pose a threat to people's security
(全球化)对传统的生活方式构成威胁, pose a threat to traditional lifestyles
(全球化)对他们的文化传承构成威胁, pose a threat to their heritage
(污染)对生物多样性构成威胁, pose a threat to bio-diversity
帮助他们为就业做好准备, help them prepare for employment
帮助他们为成年之后的人生做好准备, help them prepare for their adult life
帮助他们为知识经济做好准备, help them prepare for the knowledge-based economy
预防犯罪, prevend crime
(健康的食品、健康的生活方式)预防疾病, prevent diseases
(广告)推销产品, promte products
保护他们的文化传承, protect/preserve their heritage
保护濒危物种, protect/preserve endangered species
保护人们的安全, protect people's security
(网店)提供更低的价格, provide lower prices
(网店)为人们提供更多的购物选择, provide people with more shopping choices
(食品科技)为人们提供更多的食品选择, provide people with more food choices
(人口老龄化)对医疗体系构成压力, put pressure on the healthcare system
提高人们的生活水平, improve people's standard of living
提高健康意识, raise health awareness
提高环境意识, raise environmental awareness
循环利用垃圾废料, recycle waste
循环利用废旧产品, recycle used products
(互联网、手机)减少面对面的交流, reduce face-to-face interaction
减轻贫困, reduce poverty
(媒体、娱乐)减轻压力, reduce stress
(健康食品、运动)减少患心脏病和高血压的风险, reduce the risk of heart disease and high blood pressure
(破坏环境)减少生物多样性, reduce biodiversity
(跨国公司、全球化)减少文化多样性, reduce cultural diversity
(使用公共交通、网购)减少碳排放, reduce carbon emissions
严重依赖于快餐, rely heavily/too my on fast food
严重依赖于网络, rely heavily on the Internet
