分类,英文短语,短语中文翻译,说明,所属短语,短语关系
技能类短语,find information quickly and easily,快速、轻松地找到信息,,null,null
技能类短语,provide a variety of information,提供多种多样的信息,,find information quickly and easily,扩展短语
技能类短语,have a competitive edge,(求职者、企业、国家等)有竞争优势,,null,null
技能类短语,have a competition edge,错误搭配（native speakers 不说）,"native speakers 不写 have a competition edge ×",have a competitive edge,错误搭配
技能类短语,face tough competition for jobs,面对激烈的求职竞争,,have a competitive edge,对比表达
权利类短语,have more freedom,（在家远程上班的员工、独居的人）有更多的自由,,null,null
权利类短语,respect their choices,尊重他们的选择,,have more freedom,扩展短语
权利类短语,should be a personal choice,应该纯属个人的选择,,null,null
权利类短语,a free and fair society,一个自由、公正的社会,,should be a personal choice,扩展短语
权利类短语,provide people with more choices,（科技、网络购物等）为人们提供更多的选择,,null,null
权利类短语,provide people with more food choices,（食品科技）为人们提供更多的食品选择,,provide people with more choices,具体分类
权利类短语,provide people with more shopping choices,（网络商店）为人们提供更多的购物选择,,provide people with more choices,具体分类
权利类短语,can achieve a work-life balance,可以实现工作和生活之间的平衡,,null,null
权利类短语,often work overtime,经常加班,,can achieve a work-life balance,对比表达
权利类短语,cannot achieve a work-life balance,无法实现工作和生活之间的平衡,,can achieve a work-life balance,对比表达
权利类短语,have job security,（员工）拥有工作的稳定性,"job security 是指“工作的稳定性”，不能误解成“工作安全”",null,null
权利类短语,have a steady source of income,有稳定的收入来源,"有稳定的收入来源",have job security,扩展短语
权利类短语,are treated fairly,（学生们或者员工们）受到公平的对待,,null,null
权利类短语,are treated unfairly,（某类人）受到不公平的对待,,are treated fairly,对比表达
权利类短语,have equal opportunities,拥有平等的机会,,null,null
权利类短语,feel respected and valued,感觉受到了尊重和重视,,have equal opportunities,扩展短语
权利类短语,boost gender equality,促进性别平等，促进男女平等,,null,null
权利类短语,traditional gender roles,在传统观念里男女各自应有的社会角色（名词短语）,,boost gender equality,对比表达
权利类短语,give them a sense of achievement,给他们一种成就感,,null,null
权利类短语,have a sense of belonging,有归属感,,give them a sense of achievement,扩展短语
责任类短语,build family bonds,增进亲情,"build family bonds 在 native speakers 讨论家庭话题时极为常用，这个短语里的 bonds 不是指“007”，而是指“情感联系”",null,null
责任类短语,Reading together as a family is a good way to build family bonds while having fun and gaining knowledge together.,【BBC例句】一起阅读是增进家庭亲情的好方法，同时还能获得乐趣和知识。,"【BBC 例句】Reading together as a family is a good way to build family bonds while having fun and gaining knowledge (获取知识) together.",build family bonds,例句
责任类短语,communicate with them,和他们沟通,,build family bonds,扩展短语
责任类短语,good role models,好的榜样（名词短语）,,null,null
责任类短语,teach them the difference between right and wrong,教孩子明辨是非,,good role models,扩展短语
责任类短语,have busy careers,有忙碌的事业,,null,null
责任类短语,cannot achieve a work-family balance,无法实现工作和家庭之间的平衡,,have busy careers,对比表达
责任类短语,spoil their children,溺爱他们的孩子,,have busy careers,对比表达
责任类短语,develop a sense of responsibility,形成责任感,,null,null
