竞争激烈, intensely competitive
提高工作的稳定性, improve job security
失业, lose jobs
增加收入, increase earnings
接受培训, undergo training
符合要求, meet satisfactions
读书, read books
知识型经济, the knowledge-based economy
增长知识, gain knowledge
实现个人的野心, attain ambition
在线阅读文章, read articles online
获得知识, gain knowlege/acquire knowledge/
一个重要的知识来源, an important source of information
数字图书, digital books/e-books
开阔思路, broaden minds
开阔眼界, broaden horizons
了解最新发生的事情, keep up to date with what is happening
对………………保持消息灵通, keep well informed about(?)
教育类电视节目, educational programs
国际语言, international languages
很少人说的语言, less spoken languages
濒临消失的语言, endangered languages
交流方式, a means of communication
保护传统, preserve traditions
保护语言, preserve/protect languages
庆祝节日, celebrate festivals
全球性的语言, the global lanugage
少数民族语言/小语种, minority languages
母语, the mother tongue
文化认同, cultural identity
保护语言多样性, preserve lauguage diversity
文化多样性, cultural diversity
传统食物, traditional food
违法, violate the law
触犯法律, offend the law
遵守法律, comply with laws
面对惩罚, face punishment
严重后果, serious consequences
青少年犯罪, juvenile delinquency
轻微的犯罪, petty crime
种族矛盾, racial intensions
快速赚钱, make fast money
违反法律, violate the law
遵守法律, comply with laws
监禁, a prison sentence
青少年犯罪, juvenile delinquency
年轻的罪犯, young offenders
严重的犯罪, serious crime
过着忙碌的生活, have a busy lifestyle
喜欢运动, lead an active lifestyle
