交流能力,communication skills/social skills
领导能力,leadership competencies/skills/qualities
生活技能,life skills
年轻球员,young athletes
户外运动,outdoor sports
表达观点,express ideas/opinions
改善软技能,improve soft skills
人际技能,interpersonal/social skills
运动技能,sports skills
基本技能,basic skills
保持身材,keep fit
社会活动,social activities
交新的朋友,make new friends
外出就餐,eat outdoors
话题,talking points/topic
看足球比赛,watch a soccer game
过健康的生活,lead a healthy life/have a healthy lifestyle
聚一起,gather together/bring together
外出聚餐,go out for a meal
喝咖啡,drink a cup of coffee/have a coffee
体育迷,sports fans
直播赛事,live events
参加社会活动,join social activities
和他人来往,socialise/interact with others
文化活动,cultural activities
社会生活,social life
和邻居来往,interact with neighbors
释放压力,release/reduce/alleviate streess
忘记工作,forget about work
参加合唱团,join a choir
参观艺术馆,visit to an art gallery
减少压力,reduce stress
手边的工作,work at hand
缓解紧张情绪,release anxiety
非常有趣的经历,an interesting experience
参加乐队,join a band
遵守社会规范,comply with/abide by social norms/adhere to social norms
有礼貌,show good manners
准时完成工作,finish work punctually/on time
礼貌地处理咨询,tackle enquiries politely
好的职业道德,good professional virtues
责任感,a sense of responsibility
遵守社会规则,comply with rules
尊重他人,respect to others
准时到,be on time/arrive punctually/arrive on time
上班迟到,be late for work
建立好的工作关系,establish/build good working relationships
太空任务,universe missions
太空科学,universe science
太空探索,universe exploration
