分类,英文短语,短语中文翻译,说明与扩展
文化类短语,a key part of our heritage,我们的文化传承的一个重要部分,"著名的标志性建筑 famous landmarks;吸引很多的游客 attract many tourists;为当地的经济做贡献 contribute to the local economy"
文化类短语,enrich the local culture,丰富当地的文化,"让城市变得更有意思而且令人愉快 make cities more interesting and enjoyable"
文化类短语,have character,有鲜明的个性特色，例如历史建筑，手工制作的产品,"对比：（现代建筑、大量生产的产品）缺乏鲜明的特色 lack character"
乐趣类短语,interesting and enjoyable,有趣而且令人愉快的（形容词短语）,"减轻压力和焦虑 reduce stress and anxiety"
乐趣类短语,encourage their imagination,激发他们的想象力,"让儿童变得更有创造力的 make children more creative"
乐趣类短语,share ideas and opinions,分享想法和意见,"分享照片和视频 share photos and videos"
乐趣类短语,make life more convenient and comfortable,让我们的生活变得更方便舒适,"方便携带 easy to carry around;对比：过度地依赖于科技 rely too much on technology;导致健康问题 cause health problems;用法说明：“下载”是 download，那“上传”应该怎么写？当然就是 upload，例如：upload photos，upload videos;“和……交流互动” interact with + 某类人;在互联网上和朋友们交流互动 interact with their friends on the Internet;（游客）与当地的人们交流互动 interact with local people"
乐趣类短语,find information quickly and easily,快速、轻松地找到信息,"（互联网、报纸、广告、新闻等）一种重要的信息来源 a key source of information"
乐趣类短语,save time and energy,节省时间和精力,""
乐趣类短语,reduce face-to-face interaction,减少面对面的交流,"过度地依赖社交媒体 rely too much on social media;在一个虚拟的世界里 in a virtual world;在真实的生活里感到很孤独 feel lonely in real life"
乐趣类短语,keep in touch with family and friends,与亲友们保持联系,"分享照片和视频 share photos and videos;与他们视频聊天 video-chat with them"
乐趣类短语,feel motivated,感觉很有动力，“动力十足”,"
"乐趣类短语",feel motivated,感觉很有动力，“动力十足”,"
乐趣类短语,feel motivated,感觉很有动力，“动力十足","充分发挥出他们的潜力 achieve their potential;对比：感到无聊 feel bored;感到灰心，有挫败感 feel frustrated;重复的、乏味的任务（名词短语） repetitive tasks"
乐趣类短语,experience the local culture first-hand,直接体验当地的文化,"深化他们对当地文化的理解 deepen their understanding of the local culture;与当地人交流互动 interact with local people"
