分类,英文短语,短语中文翻译,说明与扩展
技能类短语,find information quickly and easily,快速、轻松地找到信息,"提供多种多样的信息 provide a variety of information"
技能类短语,have a competitive edge,(求职者、企业、国家等) 有竞争优势,"native speakers 不写 have a competition edge ×;面对激烈的求职竞争 face tough competition for jobs"
权利类短语,have more freedom,(在家远程上班的员工、独居的人) 有更多的自由,"尊重他们的选择 respect their choices"
权利类短语,should be a personal choice,应该纯属个人的选择,"一个自由、公正的社会 a free and fair society"
权利类短语,provide people with more choices,(科技、网络购物等) 为人们提供更多的选择,"(食品科技) 为人们提供更多的食品选择 provide people with more food choices;(网络商店) 为人们提供更多的购物选择 provide people with more shopping choices"
权利类短语,can achieve a work-life balance,可以实现工作和生活之间的平衡,"经常加班 often work overtime;无法实现工作和生活之间的平衡 cannot achieve a work-life balance"
权利类短语,have job security,(员工) 拥有工作的稳定性,"用法: job security 是指“工作的稳定性”，不能误解成“工作安全”;有稳定的收入来源 have a steady source of income"
权利类短语,are treated fairly,(学生们或者员工们) 受到公平的对待,"对比: (某类人) 受到不公平的对待 are treated unfairly"
权利类短语,have equal opportunities,拥有平等的机会,"感觉受到了尊重和重视 feel respected and valued"
权利类短语,boost gender equality,促进性别平等，促进男女平等,"对比: 在传统观念里男女各自应有的社会角色 (名词短语) traditional gender roles"
权利类短语,give them a sense of achievement,给他们一种成就感,"有归属感 have a sense of belonging"
责任类短语,build family bonds,增进亲情,"用法: build family bonds 在 native speakers 讨论家庭话题时极为常用，这个短语里的 bonds 不是指“007”，而是指“情感联系”;【BBC例句】Reading together as a family is a good way to build family bonds while having fun and gaining knowledge (获取知识) together.;和他们沟通 communicate with them"
责任类短语,good role models,好的榜样（名词短语）,"教孩子明辨是非 teach them the difference between right and wrong"
责任类短语,have busy careers,有忙碌的事业,"无法实现工作和家庭之间的平衡 cannot achieve a work-family balance;溺爱他们的孩子 spoil their children"
责任类短语,develop a sense of responsibility,形成责任感,""
