经常运动,often exercise
做运动(英式常用),do sprot
有健身设备,have exercising equipment
被现代建筑取代,make way for modern buildings
过健康的生活,lead a healthy life
不喜欢运动,lead a sedentary life
做运动(美式常用),play sports
室内活动,indoor activities
绿地,green places
稳定的工作,a steady job
收入很高的工作,a high-income /well-paid job
过很舒适的生活,lead a comfortable life
支付生活杂费,pay living expenses
过快乐的生活,lead a happy life
稳定的收入,a steady income
支付生活费,pay living costs
支付学费,pay tuition fees
还清房贷,pay off the mortgage
经济困难,finnancial difficulties
物质财产,materialistic possessions
时尚的设备,up-to-date devices
买最先进的版本,buy/purchase the most advanced model
中产阶级,the middle class
生活在物质的社会,live in a metarilistic world
高科技产品,hi-tech products
身份的象征,status symbol/a symbol of status
买的东西多过自己需要的,buy more than they need
消费社会,consumer society
开心和满足,become happy and satisfied
与世隔绝,out of touch with the world
提高生产力,boost productivity
执行重复任务,conduct repetitive tasks
减少劳动力,reduce labour
机械化装配线,mechanised assembly lines
过程自动化,automate the process
服务电脑化,computerise the services
减少劳动力成本,reduce the cost of labour
提升自信,improve self-esteem/confidence
过时,old-fashioned 
提高效率,boost efficiency
取代人类劳动力,replace human labour
机械化任务,mechanised tasks
机械化耕作,mechanised farming
手工完成,be done by hands
工业机器人,industrial robots
促进经济,boost the economy
更加容易接触医疗服务,easier access to healthcare services
公办医院,public hospitals/(?)state-funded hospitals
临床经验,clinical experience
患病,contract/get into diseases
排长队,be on a long waiting list
促进我们的健康,improve our health
发明新药物,develop/invent new drugs/medicines
医疗设备,medical equipment
接受医疗,receive medical treatment
高医疗费用,high healthcare expenses
医疗调查,medical survey
在医药行业,in the pharmacy industry
治愈疾病,cure diseases
以前不可治疗的疾病,previously uncurable diseases
垃圾管理,waste management
传播疾病,spread diseases
传染病,infectious/contagious(?) diseases
生活健康,lead a healthy life
提升大众健康,improve public health
传统的教室,traditional classrooms
提供指导,provide guidance/instruction
建立信心,build confidence/self-esteem
培养强烈的兴趣,develop a strong interest in sth
延长寿命,prolong/extend life expectancy
独立学习,study independently
在一对一的基础上,on a one-on-one basis/individually
保持对学习的热情,keep enthusiam towards study
保持学生的兴趣,keep students' interests in sth
保持热情,keep enthusiam
对于学业的负面态度,negative attitudes to study
缺乏自制力,lack self-discipline
分心,distract from (study)
艺术博物馆,art museums
展览文物,exhibit artefacts
连接历史,connect to the past
丰富文化生活,enrich cultural lives
对公众开放,open to the public
免费进入,free admission
战争博物馆,war museums
举办一个展览,host an exhibition
文化遗产,cultural heritage
门票,entrance admission
免费入场,(?)
民族歌曲,fold songs
摇滚音乐,rock music
热门歌曲,hit songs
音乐爱好者,music lovers
综合各种音乐风格,integrate different musical styles
流行歌曲,pop songs
古典音乐,classical music
流行歌手,pop singers
乐器,musical instruments
文化差异,cultural differences
文化和文化之间的差异,differences between culture to culture
西方国家,the western countries
新闻报道,news reports
新闻组织,news organizations
专业报道,professional reports
播放新闻,broadcast news
新闻机构,news outlets
新闻媒体,news media
收集第一手资料,gather first-hand information
一条有可靠来源的信息,a reliable source of information
提高收视率,improve ratings
夸大犯罪事实,exaggrate crime/sensationalise crime
误导公众,mislead the public
政治压力,political pressure
现场,on the spot
拓展读者群体,expand reader group
掩盖政治性的丑闻,conceal political scandals
虚假新闻,fake news
带有主观看法,opinioned ideas
隐瞒真相,conceal the truth
老人,old people
年长者,senior citizens
跟不上时代,out of touch with the world
过时的观念,old-fashioned minds
老者,the elders
老一辈,the older generation
抵触改变,resistant to change
适应现代社会,adapt/fit into modern society
采用高科技,adapt cutting-edge technology
生活经历,living experience
做轻率的决定,make rash decisions
与世界脱节,out of touch with the world
阻碍社会进步,hold back the progress of the world
在网上看新闻,read/check news online
阅读网上新闻,read/check news online
明智的意见,sensational/wisely/reasonable opinions
冒险,take risks
风险规避,risk-averse
收入来源,the source of income
财政负担,financial burden
看新闻,watch news programmes
空闲时间,free time
了解最近发生的事情,keep up to date with what is happening
看网络视频,watch online videos
更快了解到实时新闻,a faster access to real-time information
实况转播,(?)
电视新闻,TV news
视频信息的呈现,the delivery of visual information
新闻节目,news programmes
经营网络商务,run e-commerce
网店,online shop
竞买的网站,auction websites
运营成本,the cost of operation/running
下单,place an order
换货,offer a replacement
在家里,at home
假货,fake products
不好的产品,shoddy products
消费者权益,consumer rights
行业规范,a code to conduct(?)
公司老板,business owners
电商网站,e-commercial websites
零售店,retailers
回答问题,answer questions/enquiries
付款,pay bills/make a payment
扩大业务,expand the business
融入自己的日程表,add to their own schedules
有问题的产品,faulty products
真货,authenticated brands(?)
购买的决定,the decision of purchasing
举办派对,hold parties
出席派对,attend a party
公司里举行的派对,office party
生日宴会,brithday parties
生日礼物,brithday gifts/presents
很好喝的饮料(或者酒),freshing drinks
提供酒水,provide drinks
告别宴会,farewell parties
举办派对,host a party
出席派对,attend a party
家里举行的聚餐,dinner party
生日蛋糕,brithday cake
吹蜡烛,blow out candles
入伙聚餐,housewarming parties
k歌的派对,karaoke parties
拍照,take photos
拍自拍照,take a selfie
可移动设备,mobile/portable deveices
拍照,take pictures
相册,photo albums
捕捉特别的瞬间,caputre special moments
重温一些(美好的瞬间或者日子),relive experiences
上传相片,upload photos
数码相机,digital camera
让颜色更加鲜艳,brighen colors
社交网站,social media
编辑相片,edit photos
制作慢动作电影,produce slow motion movie
做实际工作,do practical/hands-on work
为工作做准备,prepare for employment lives
实习,(?)do placements
