西方国家, western countries
新闻报道, news reports
新闻组织, news organizations
专业报道, professional reports
播放新闻, broadcast news
新闻机构, news outlets
新闻媒体, news media
收集第一手资料, collect/gather first-hand information
一条有可靠来源的信息, a reliable source of information
提高收视率, (?)
夸大犯罪事实, exaggerate/sensationlise crimes
误导公众, mislead the public
政治压力, political pressure
现场, at the pot
拓展读者群体, expand the readerships
掩盖政治性的丑闻, cover up political scandals
虚假新闻, fake news
带有主观看法, a subject view
隐瞒真相, conceal the truth/the fact
老人, older people
年长者, senior citizens
跟不上时代, out of the touch with the world
过时的观念, old-fashioned minds
老者, the elder
老一辈, the older generation
抵触改变, be averse to change/be resistent to change
适应现代社会, adapt to modern society
采用高科技, adopt advanced technology
生活经历, life experience
做轻率的决定, make rush choices
与世界脱节, out out touch with the world
阻碍社会进步, hold back social progress
在网上看新闻, read news online
阅读网上新闻, read online news
明智的意见, sensible opinions/advice/suggestions
冒险, take risks
风险规避, risk-averse
收入来源, a source of income
财政负担, (increase) financial burden on
看新闻, read news
空闲时间, (in) free time/at leisure time(?)
了解最近发生的事情, keep up to date with what is happening
看网络视频, watch online videos
更快了解到实时新闻, have faster access to real-time news/news in real time
实况转播, a live coverage of(?)
电视新闻, TV news
视频信息的呈现, the illustration of visual information
新闻节目, news programme
经营网络商务, run an online business
网店, a online shop
