chinese,phrase
对社会构成威胁,pose a threat to society
预防犯罪,prevent crime
降低犯罪率,reduce crime rates
犯罪,commit a crime
震慑罪犯,deter criminals
失去自由,lose their freedom
（囚犯）被和他们的亲友分开,are separated from their family and friends
改造罪犯,reform criminals
为他们提供职业教育,provide them with vocational training
从根本上解决犯罪问题,address the root causes of crime
（网络游戏、电影等）宣扬暴力,promote violence
（儿童）很容易受媒体的影响,are easily influenced by the media
（儿童）模仿他们在媒体里看到的行为,copy what they see in the media
变得具有攻击性而且很暴力,become aggressive and violent
盗取个人信息,steal personal information
网络诈骗（名词短语）,online fraud
（跨国公司、文化全球化）减少文化的多样性,reduce cultural diversity
（不同国家的人们）有相似的生活方式,have similar lifestyles
（文化全球化、小语种灭绝）削弱他们对本国文化或者对本民族文化认同感,erode their cultural identity
有更多的娱乐选择,have more entertainment choices
导致误解，引起误解,cause misunderstanding
文化差异（名词短语）,cultural differences
语言障碍（名词短语）,language barrier
传统和风俗,traditions and customs
尊重当地的传统和风俗,respect the local traditions and customs
深化他们对于自己的文化传承的理解,deepen their understanding of their heritage
文化传承,heritage
是他们的文化传承的一个重要部分,is a key part of their heritage
思想更开放的，更愿意接受不同事物的,are more open-minded
尊重文化差异,respect cultural differences
多元文化社会（名词短语）,multi-cultural society
提升民族的自豪感,boost national pride
把人们团结到一起,unite people
分享想法和意见,share ideas and opinions
促进文化交流,promote cultural exchange
我们的文化传承的一个重要部分,a key part of our heritage
著名的标志性建筑,famous landmarks
吸引很多的游客,attract many tourists
丰富当地的文化,enrich the local culture
让城市变得更有趣而且令人愉快,make cities more interesting and enjoyable
有鲜明的个性特色，例如历史建筑,have character
缺乏鲜明的特色,lack character
有趣而且令人愉快的（形容词短语）,interesting and enjoyable
让儿童变得更有创造力的,make children more creative
分享照片和视频,share photos and videos
方便携带,easy to carry around
过度地依赖于科技,rely too much on technology
上传照片,upload photos
上传视频,upload videos
和……交流互动,interact with
在互联网上和朋友们交流互动,interact with their friends on the Internet
与当地的人们交流互动,interact with local people
一种重要的信息来源,a key source of information
减少面对面的交流,reduce face-to-face interaction
过度地依赖社交媒体,rely too much on social media
在一个虚拟的世界里,in a virtual world
在真实的生活里感到很孤独,feel lonely in real life
与亲友们保持联系,keep in touch with family and friends
与他们视频聊天,video-chat with them
感觉很有动力,feel motivated
感到无聊,feel bored
感到灰心，有挫败感,feel frustrated
重复的、乏味的任务（名词短语）,repetitive tasks
直接体验当地的文化,experience the local culture first-hand
深化他们对当地文化的理解,deepen their understanding of the local culture
