同辈的压力, peer pressure
与邻居交往, communicate/contact with neighbors
获得经济支持, gain financial support
与朋友出去玩, hang out with friends
亲密的朋友, close friends
商业机会, business opportunities
性别歧视, gender bias
性别偏见, gender discrimination
教育公平, educational equality(?)
缩小性别差距, narrow the gender gap/gender gap narrows
商业领袖, business leaders
性别歧视, the discrimination on the grounds of genders
性别平等, gender equality
性别差异, gender differences
管理技能, managerial skills
董事会成员, members of the board
(女性) 打破职位提升的障碍, break/shatter the glass ceil
进入职场, enter the workforce
养家糊口, raise family
减少男女歧视, reduce gender discrimination
全球变暖, global warming
温室气体, greenhouse gases
存储来自太阳的热量, trap the heat from the sun
异常温暖的气候条件, unusually warm conditions
气候变化, climate change
聚集在大气中, accumulate/build up in the atmosphere
极端天气条件, extreme weather conditions
政府介入, government intervention
发起宣传活动, lauch awareness campaigns
制定法律, make/introduce laws
征收烟草税, impose tobacco taxes on
保持健康, keep healthy
政府行为, government action(?)
颁布法律, introduce laws
加紧监管, regulate strictly
控制吸烟, control/curb smoking
预防比治疗重要, prevention is more import than the cure
公共花园, public garden
慢跑, go for a jog
减轻压力, reduce pressure
开花植物, flowering plants
做户外运动, do outdoor sports
感觉放松, feel relaxed
保持身材, keep fit
常青树, evergreen trees
美丽的风景, beautiful views/scenery/landscapes
欣赏风景, appreciate the scenery
领略风光, admire the landscape
极好的景色, stunning views
赞美景色, appreciate the scenery
