经常运动,exercise regularly
做运动(英式常用),do sport
有健身设备,have sports equipment
被现代建筑取代,make way for modern buildings
过健康的生活,have a healthy lifestyle
不喜欢运动,have a sedentary lifestyle
做运动(美式常用),play sports
室内活动,indoor activities
绿地,green space
稳定的工作,steady jobs/have job security
收入很高的工作,high-income jobs/well-paid jobs
过很舒适的生活,live a comfortable life
支付生活杂费,pay living expenses/costs
过快乐的生活,experience happniess
稳定的收入,a steady source of income
支付生活费,pay living expenses
支付学费,pay tuition fees
还清房贷,pay off the mortgage
经济困难,financial difficulties
物质财产,material possessions
时尚的设备,up-to-date equipment
买最先进的版本,buy the advanced model
中产阶级,the middle class
生活在物质的社会,live in a material world
高科技产品,hi-tech products
身份的象征,status symbol
买的东西多过自己需要的,buy more than they need
消费社会,consumer society/culture
开心和满足,happy and satisfied
与世隔绝,out of touch with the world
提高生产力,boost productivity
执行重复任务,do repetitive tasks
减少劳动力,reduce the labour cost
机械化装配线,mechanised assembly lines
过程自动化,automate the process
服务电脑化,computerise the service
减少劳动力成本,reduce the labour cost
提升自信,improve confidence/build self-esteem
过时,behind the times/old-fashioned
提高效率,boost efficiency
取代人类劳动力,replace human labour
机械化任务,mechanise tasks
机械化耕作,mechanised farming
手工完成,be done by hand
工业机器人,industrial robots
促进经济,contribute to the economy
更加容易接触医疗服务,have easier access to healthcare services
公办医院,public hospitals
临床经验,clinical experience
患病,contract diseases/get into diseases
排长队,be on a long waiting list
促进我们的健康,benefit our health
发明新药物,develop/invent new drugs/medicines
医疗设备,medical equipment
接受医疗,receive medical treatment
高医疗费用,high healthcare expenses
医疗调查,medical research
在医药行业,in the pharmacy industry
治愈疾病,cure diseases
以前不可治疗的疾病,previously incurable diseases
垃圾管理,waste management
传播疾病,spread disease
传染病,infectious diseases
生活健康,life health
提升大众健康,improve public health
传统的教室,traditional classrooms
提供指导,provide instruct
建立信心,build confidence/self-esteem
培养强烈的兴趣,develop keen interests in
延长寿命,prolong/extend life expectancy
独立学习,study independently
在一对一的基础上,on a one-on-one basis/individually
保持对学习的热情,maintain the enthusiasm of learning
保持学生的兴趣,maintain the interest of students
保持热情,keep motivated
对于学业的负面态度,a negative attitude to learning
缺乏自制力,lack self-discipline
分心,get distracted
艺术博物馆,art museums
展览文物,exhibit artefacts
连接历史,connect to the past
丰富文化生活,enrich cultural life
对公众开放,free to the public
免费进入,free entry
战争博物馆,war museum
举办一个展览,hold/organize an exhibition
文化遗产,cultural heritage/heritage
门票,entrance fees
免费入场,free admission
民族歌曲,fold songs
摇滚音乐,rock music
热门歌曲,hit songs
音乐爱好者,music lovers
综合各种音乐风格,integrate a variety of genres
流行歌曲,pop music
古典音乐,classical music
流行歌手,pop singers
乐器,musical instruments
文化差异,cultural differences
文化和文化之间的差异,differ from culture to culture
西方国家,western countries
新闻报道,news reports
新闻组织,news organizations
专业报道,professional reports
播放新闻,broadcast news
新闻机构,news outlets
新闻媒体,news outlets
收集第一手资料,collect/gather first-hand information
一条有可靠来源的信息,a reliable source of information
提高收视率,improve ratings
夸大犯罪事实,sensationalise/exaggerate crimes
误导公众,mislead the public
政治压力,political pressure
现场,on the spot
拓展读者群体,expand readership
掩盖政治性的丑闻,cover up political scandals
虚假新闻,fake news
带有主观看法,in an opinionated way/in a subjective view
隐瞒真相,conceal the truth
老人,old people
年长者,senior citizens
跟不上时代,behind the times
过时的观念,old-fashioned ideas
老者,the elderly
老一辈,the older generation
抵触改变,be resistant to change/be averse to change
适应现代社会,adapt to the modern society
采用高科技,adopt advanced technology
生活经历,life experience
做轻率的决定,make a rash choice/decision
与世界脱节,out of touch with the world
阻碍社会进步,hold back social progress
在网上看新闻,read news online
阅读网上新闻,check online news
明智的意见,sensible advice/suggestions
冒险,take risks
风险规避,risk-averse
收入来源,a source of income
财政负担,(increase) financial burden on
看新闻,watch news
空闲时间,at leisure/have free time
了解最近发生的事情,keep up to date with what is happening
看网络视频,watch online videos
更快了解到实时新闻,faster access to news in real time
实况转播,a live coverage of 
电视新闻,TV news
视频信息的呈现,the delivery of visual information
新闻节目,news programmes
经营网络商务,run e-commerce
网店,online shop
竞买的网站,an auction website
运营成本,running costs/operating expenses
下单,place an order
换货,offer a replacement
在家里,in the comforty of their home
假货,fake goods
不好的产品,shoddy goods
消费者权益,consumer rights
行业规范,a code to conduct/practice
公司老板,business owners
电商网站,e-commerce websites
零售店,retail outlets
回答问题,answer question/enquiries
付款,make a payment
扩大业务,expand business
融入自己的日程表,fit into my schedule
有问题的产品,faulty/problematic goods
真货,authentic brands/genuine goods
购买的决定,purchasing decision
举办派对,hold/throw a party
出席派对,attend a party
公司里举行的派对,office party
生日宴会,birthday party
生日礼物,birthday gift/present
很好喝的饮料(或者酒),refreshing drinks
提供酒水,serve drinks
告别宴会,farewell parties
举办派对,host a party
出席派对,attend a party
家里举行的聚餐,house/dinner party
生日蛋糕,birthday cakes
吹蜡烛,blow out candles
入伙聚餐,housewarming parties
k歌的派对,karaoke parties
拍照,take a photo
拍自拍照,take a selfie
可移动设备,mobile/portable devices
拍照,take pictures
相册,photo albums
捕捉特别的瞬间,caputre special moments
重温一些(美好的瞬间或者日子),relive experiences
上传相片,upload pictures
数码相机,digital cameras
让颜色更加鲜艳,brighten colors/make the colors more vivid
社交网站,social networking websites/social media
编辑相片,edit photos
制作慢动作电影,make slow motion movies
做实际工作,do practical work
为工作做准备,prepare for work/employment/a job
实习,work placements
