不必要的死亡, unnecessary deaths/die needlessly
生病, suffer from diseases
接受职业培训, undergo/receive vocational/positional training
提高工作能力, sharpen/develop working skills/add to the working skill set
减少贫富差距, close the gap/divide between poor and wealth/haves and have-nots
种族歧视, racial discrimination
遵守规则, obey/abide/comply with rules
破坏规则, break/violate rules
基本的规则, basic/ground rules
破坏校规, violate school rules
遵守文化规范, obey cultural norms
形成好的习惯, develop positive habits
遵守规则, obey rules
建立规则, set/establish rules
遵守黄金规则, follow golden rules
不遵守社会规范, violate social norms
讲礼貌, show good behaviour/show good manners
公司的规定, company regulations
伸出援手, give a helping hand
同情, show compassion (to sb)
做事自私, show selfish
有颗金子般美好的心, with a golden heart
响应情感需求, response to emotional needs
受自身利益驱使, driven by benefits/interests
出于贪婪, by greed
在考试中作弊, cheat in exams
获取不公平的优势, gain an unfair advantage
不劳而获, make easy money
灌输道德观, instil/impart ethical/moral values
需求很高, a high demand
传统的价值, traditional values
消费品, comsumer goods
家庭用具, household products/goods
网络商店, online shop/e-tailers
在舒适的家里, in the comfort of their home
购物中心, shopping centers/malls/complexes
冲动买…………………, buy/shop/purchase on impulse
消费社会, consumer/consumerism society/culture
用信用卡付账, pay by credit card
需求很高, high dimands
电子设备, electric/electronic/electrical equipment
网络购物, shop online
网络零售商, online retailers/e-tailers
在购物街, on high streets
购物街, shopping streets
大降价, steep discounts
消费文化, consumer/consumerism culture
教育游戏, educational games
设定规则, set/establish rules
良好的倾听技巧, good listening skills
