会计硕士,a master's degree in accounting
处理财务记录,handle/manage financial records
在会计领域,in the accounting field
会计能力,accounting skills/competencies
处理预算问题,tackle budget problems
会计软件,accounting software/programes
深厚的会计背景,an extensive background of accounting
会计准则,accounting principles
会计专业,in the profession of the accounting
会计职位,the accountant positions
盈亏底线,bottom line
上课,attend courses
将技能用于工作,apply skills to work
提高工作能力,improve job skills
增加产出,increase outcomes
想出有创意的点子,come up with creative ideas
有创造性地解决问题,solve the problem creatively
非常规手段,unconventional measures
运用想象力,use imagination
益智玩具,educational toys
发挥创造力,achieve creative potential
大脑发育,brain development
很好地掌握先进科技,take a good grasp of/master advanced technology
促进创新,foster innovation
创造利润,make profits
威慑作用,deterrent effects
再三考虑,think twice
遏制犯罪,curb crime
犯罪,commit a crime
触犯法律,violate laws
在逃罪犯,escaping criminals
携带武器,carry weapons
服刑,serve a prison term
减少贫穷,reduce poverty
视频监控,survielliance cameras
逃避惩罚,escape punishment
阻止犯罪,prevent crime
打击犯罪,combat crime
违反法律,violate laws
抓捕罪犯,catch criminals
武装警察,armed police
支付罚款,pay a fine
作为志愿者,work as a volunteer
职业培训,vocational training
做一些活动,do some activities
从幼年开始,from an early age
开始上学,start school
父母管教的方式,parenting styles
施加惩罚,impose sanctions on
扼杀创造力,stifle creativity
培养良好的习惯,foster/cultivate good habbits
提高文学素养,improve literacy
维持纪律,maintain discipline
行为问题,behavioural problems
传授明确的行为规范,impart a clear code of conduct
成为社会的好公民,become law-abiding citizens
有礼貌,show good manners
罚站和留堂,grounding and detention
来自贫穷的家庭,from poor families
来自贫穷家庭的孩子,from less well-off families
来自普通家庭,from common families
辍学,drop out of school
教育公平,the equality of education
无息贷款,interest-free/zero-interest loans
学习的成本,the cost of study
减少贫穷,reduce/eradicate poverty
贫穷的学生,student from deprived backgrounds
贫穷的孩子,student from less well-off families
免除学费,be exempted from tuition fees
教育的公平,educational equality
在大学学习,study at university
财政支持,financial support
摆脱贫穷,get rid of poverty/break the cycle of poverty
职业培训,occupational trainning
减少贫富差距,narrow the gap between rich and poor
减少贫富差距,reduce economic divide
教育系统,the education system
高等教育,higher/university-level education
学校系统,the school system
接受好的教育,receive good education
设立奖学金,set up/ set /establish scholarships
受过良好教育的劳动力队伍,a well-educated workforce
公立学校,state-funded schools
学生贷款,student loans
免费获取知识,free access to knowledge
免费教育,free education
宽带服务,broadband internet service
可替代能源,alternative energy resources
可再生资源,renewable resources
能源消耗,energy consumption
自然光,natural light
电动汽车,electric cars
汽车业巨头,car giants
环保材料,environmentally friendly materials
节能,energy-saving/energy-efficient
清洁能源,clean energy
能源保护,energy preservation
发电,generate electricity
可持续材料,sustainable materials
混合能源汽车,hybrid cars
传统化石燃料,traditional fossil fuel
节能科技,energy-saving technology
环境问题,environmental problems/issues
环境的影响,environmental impact
环境议题,environmental issues
环境的破坏,environment destructive(?)
对环境造成破坏,cause damage to the environment/damage the environment
扔垃圾,drop litter
充满了垃圾,awash with litter
破坏湿地,damage wetlands
清理森林,clear forest
破坏美好的风景,damage the beautiful landscape
环保,go green
环境保护,environmental protection
过环保的生活,lead a ecofriendly life
环保的,environmentally friendly
环境效益,environmental benefits
环境的影响,environmental effects
开始大规模的宣传活动,launch a massive campaign
环境意识,environmental awareness
给大众提供………………方面的教育,educate the public about
大额罚款,(?)impose heavy sanctions on
垃圾箱,rubbish bins
节能,conserve energy
回收垃圾,recycle waste
家庭垃圾,household waste
付出时间,spent time on
复习备考,revise to exams
考试成绩,exam grades/results
做家庭作业,do homework
死记硬背,rote learning
课外活动,extra-curricular activities
劳逸结合,(?)combine study with entertainment
准备考试,prepare for exams
考试工厂(只关注考试的地方),exam factories
工作量增加,workload increases
背东西,learn facts by heart
发现乐趣,discover/uncover hobbies
追求一种爱好,pursue a hobby
家庭生活,family life
度过宝贵时光,spend quality time (with children)
家庭关系,family bonds/ties
实现工作和生活的平衡,achieve a work-life balance
家庭责任,family commitments
家庭聚餐,family dinner
家庭活动,family activities
感到孤独,feel lonely
孤立感,a sense of isolation
一个有爱的家庭,a loving family
孤独感,a sense of loneliness
情感上的支持,emotional support
电影行业,the film industry
去电影院,go to a cinema
特技效果,special effects
票房,the box office
最卖座的电影,top-grossing films
大预算电影,big-budget films
由巨星主演,star famous actors
有天赋的电影人(制片人),talented/gifted filmmakers
制作高质量的电影,produce quality films
国产电影,domestically produced films
当地制作的电影,locally produced films
做饭,cook meals
做饭技能,cooking skills
生活技能,life skills
准备饭菜,prepare for meals
水果和蔬菜,fruits and vegetables
健康的饮食,healthy diet
均衡的饮食,balanced diet
快餐,fast food
碳酸饮料,fizzy drinks
新鲜的食材,fresh ingredients
吃脂肪过多的食物,eat fatty food
鱼和薯条,fish and chips
高盐高糖的,high in salt and sugar
对抗肥胖问题,combat obesity
增加产量,increase yields
种庄稼,grow/cultivate crops
收成很好,a good harvest (in agriculture)
使用杀虫药,use pesticides
食品价格,food prices
基因工程,genetic engineering
抗虫害,be strong agains pests and diseases
使用防腐剂,use (?)preservatives
生长得更快,grow faster/quickly
食品生产,food producion/supply
种庄稼,cultivate crops
化肥,chemical fertilisers
病虫害,pest diseases(?)
转基因食品,GM foods
高产量的庄稼,high-yield crops
高密度农场,intensive farming
机械化种植,mechanised farming
食物短缺,food shortages
朋友圈,the network of friends
建立关系网,establish the network of contacts(?)
成为好朋友,make good friends/become good friends
形成良好的关系,forge/build a strong/good relationship
发展一段终生的友谊,develop a lifelong relationship
持续的友谊,continuous friendship
